word,value
abduction,0.99
exorcism,0.98
homicide,0.973
aggresive,0.971
terrorism,0.971
killer,0.971
bloodbath,0.971
violate,0.97
violently,0.97
assassinate,0.969
frightening,0.969
terrorists,0.967
frenzy,0.965
adrenaline,0.965
exhilarated,0.963
bombing,0.963
enraged,0.962
panicky,0.962
orgy,0.962
attacker,0.962
gunfight,0.961
masturbation,0.961
bombard,0.961
explosion,0.96
elated,0.96
promiscuity,0.96
murderer,0.96
sexual,0.959
bombardment,0.959
competitor,0.959
killing,0.959
hurricane,0.958
excitation,0.958
threaten,0.958
schizophrenic,0.958
battleground,0.958
suicidebombing,0.957
euphoria,0.955
furious,0.953
orgies,0.953
gunshot,0.953
hijacker,0.953
slaughter,0.953
scary,0.952
catastrophe,0.952
aroused,0.952
irritable,0.952
counterattack,0.951
arrest,0.951
bang,0.951
fornication,0.951
frenzied,0.951
excite,0.95
showdown,0.95
panicked,0.949
rioting,0.949
aggressive,0.949
aggressor,0.948
attack,0.948
slaughtering,0.947
riot,0.946
erotic,0.946
battle,0.945
sexy,0.945
outrageous,0.945
tsunami,0.944
lust,0.944
firearm,0.943
crime,0.943
firearms,0.943
explosive,0.943
psychopath,0.943
arousal,0.943
incitement,0.943
bloodshed,0.942
nightmares,0.942
gunmen,0.942
hysterical,0.942
murder,0.942
monstrous,0.942
kill,0.941
murderess,0.941
dangerous,0.941
firepower,0.941
great surprise,0.941
assassination,0.941
lusty,0.941
murderous,0.94
revenge,0.94
storm,0.94
yelling,0.939
excitable,0.939
sex,0.939
onslaught,0.939
panic,0.938
brawl,0.938
monster,0.935
extreme surprise,0.935
destroy,0.935
infuriate,0.934
catastrophic,0.934
monstrosity,0.933
fornicate,0.933
violence,0.933
assassin,0.933
savage,0.931
excited,0.931
firing,0.931
shooting,0.931
hit,0.931
agitation,0.931
detonation,0.931
earthquake,0.93
terrorist,0.93
gunfire,0.93
slayer,0.93
frenetic,0.93
infuriated,0.93
fuck,0.93
intensity,0.93
whorehouse,0.93
dangerously,0.93
stalker,0.93
wildfire,0.929
blast,0.929
destruction,0.929
quarrel,0.929
aggression,0.929
sharpshooter,0.929
firestorm,0.929
threatened,0.928
shootout,0.927
strangle,0.927
vengeance,0.927
lovemaking,0.927
raging,0.927
masturbate,0.926
aggressively,0.926
shoot,0.926
rescue,0.926
shout,0.925
furiously,0.925
manhunt,0.925
anxietyattack,0.925
seismic,0.925
shockingly,0.924
terrifies,0.923
kidnapped,0.923
kidnap,0.923
chaos,0.923
danger,0.923
hostage,0.923
porno,0.923
fugitive,0.922
turbulence,0.922
gunman,0.922
risky,0.922
ecstasy,0.922
missiles,0.922
wild,0.922
psycho,0.922
challenge,0.922
adultery,0.922
hyperactive,0.921
pornography,0.921
provoking,0.92
bombers,0.92
manslaughter,0.92
exploitation,0.92
slay,0.92
gun,0.92
fights,0.92
cheater,0.92
adrenalin,0.92
firefight,0.92
lynching,0.92
tussle,0.919
agressive,0.918
psychopathic,0.918
perverted,0.918
striptease,0.918
sadist,0.918
burglary,0.918
urgent,0.918
violent,0.918
jitters,0.918
battlefield,0.918
twitchy,0.918
holocaust,0.918
paranoid,0.918
clash,0.918
annihilate,0.918
hell,0.918
guerrilla,0.917
publicspeaking,0.917
shelling,0.917
freaked,0.917
thunder,0.916
ferocious,0.915
punching,0.915
snipe,0.915
freakish,0.915
whirlwind,0.915
nervousness,0.915
nude,0.915
avalanche,0.915
porn,0.915
handgun,0.914
stealing,0.913
eruption,0.913
aggressiveness,0.913
infuriates,0.913
overreact,0.912
bomb,0.912
wartime,0.912
artillery,0.912
homicidal,0.912
diabolical,0.912
irritating,0.912
radioactivity,0.91
volcanic,0.91
scare,0.91
excitability,0.91
suffer,0.91
gunfighter,0.91
rollercoaster,0.91
tragedies,0.91
peril,0.91
bloody,0.91
storming,0.91
speeding,0.908
hijack,0.908
craziness,0.908
jeopardy,0.908
horny,0.908
urgency,0.908
accident,0.908
wrath,0.908
demon,0.908
terrorize,0.907
disturbance,0.907
scandalous,0.907
savagery,0.907
ferocity,0.906
pursuing,0.906
sadistic,0.906
exorcist,0.906
hysteria,0.906
conflict,0.906
gunplay,0.906
crash,0.906
pushy,0.906
sabotage,0.906
kidnapper,0.906
rapist,0.906
nuke,0.905
acceleration,0.905
vandalism,0.904
firework,0.904
desperation,0.904
tragic,0.904
arson,0.904
phobia,0.904
euphoric,0.904
afire,0.904
delinquent,0.904
devastation,0.904
distraught,0.903
fiend,0.903
flustered,0.903
abusive,0.903
accelerate,0.902
terrified,0.902
fistfight,0.902
terror,0.902
revolution,0.902
uproar,0.902
screaming,0.901
debauchery,0.901
drunk driving,0.9
mutilate,0.9
playboy,0.9
fearsome,0.9
overwrought,0.9
undress,0.9
rifle,0.9
troublemaker,0.9
emergency,0.9
pistol,0.9
devil,0.9
rowdy,0.9
whip,0.899
jail,0.898
adventurous,0.898
hurricanes,0.898
action,0.898
felon,0.898
frantically,0.898
punishing,0.898
astonishingly,0.898
strife,0.898
sexuality,0.898
awesome,0.897
barbarian,0.896
ejaculate,0.896
crossfire,0.896
pornographic,0.896
lustful,0.896
blazing,0.896
harassment,0.896
sinister,0.896
fanaticism,0.896
tornado,0.896
edgy,0.895
plunder,0.894
burst,0.894
menace,0.894
nightclub,0.894
tidal wave,0.894
troublesome,0.894
nymphomaniac,0.894
clapping,0.894
provocation,0.893
ejaculation,0.893
exaltation,0.892
collide,0.892
manic,0.892
violation,0.892
angriest,0.892
war,0.892
invade,0.892
disaster,0.892
villain,0.892
voracious,0.892
seduction,0.891
uncontrolled,0.891
cannibalism,0.89
warship,0.89
frantic,0.89
alarming,0.89
tortured,0.89
mutiny,0.89
transgression,0.89
hellfire,0.89
irritate,0.89
wrestle,0.89
excess,0.889
hooker,0.889
protest,0.889
terrify,0.889
turmoil,0.888
rage,0.888
pissed,0.888
devour,0.888
angst,0.888
tremendous,0.888
carnival,0.888
thief,0.888
ripper,0.887
unstoppable,0.887
growling,0.887
entice,0.887
spook,0.887
jailhouse,0.887
revolutionary,0.887
massacre,0.887
victorious,0.886
brothel,0.886
strangulation,0.886
exaggerated,0.885
endanger,0.885
horrified,0.885
toxic,0.885
pandemonium,0.885
endangered,0.885
overactive,0.885
warfare,0.885
fighting,0.885
hasty,0.885
swiftly,0.885
traumatic,0.885
erect,0.885
naked,0.885
explode,0.885
penetration,0.885
lynch,0.885
defy,0.884
impact,0.884
hazard,0.884
possessed,0.884
takeoff,0.884
rapture,0.883
noise,0.883
excessively,0.882
panicking,0.882
riots,0.882
alarm,0.882
pump,0.882
stab,0.882
kickboxing,0.882
offensive,0.882
discord,0.882
agitated,0.882
brutal,0.882
thug,0.882
flamethrower,0.882
spank,0.882
kidnapping,0.88
whore,0.88
merciless,0.88
aching,0.88
success,0.88
avenging,0.88
madman,0.88
apocalyptic,0.88
menacing,0.88
boxers,0.88
champion,0.88
matador,0.88
bawl,0.88
rebellious,0.88
dazzling,0.88
schizophrenia,0.88
spunky,0.879
chase,0.878
torture,0.878
genocide,0.878
crucify,0.878
tremble,0.878
wallow,0.878
revolt,0.878
exploit,0.878
hangman,0.877
penetrate,0.877
hostile,0.877
crazed,0.877
racketeering,0.877
fierce,0.877
birthing,0.877
jeopardize,0.877
fuss,0.876
rampage,0.875
demonic,0.875
fury,0.875
threatening,0.875
stampede,0.875
surprise,0.875
revving,0.875
alertness,0.875
stabbed,0.875
gory,0.875
anxious,0.875
contraband,0.875
detonator,0.875
audacious,0.875
abused,0.874
beastly,0.874
almighty,0.874
juggling,0.874
persecute,0.873
stressful,0.873
conquer,0.873
mad,0.873
emotion,0.873
endangerment,0.873
inquisitor,0.873
extreme disgust,0.873
harassing,0.873
ardent,0.873
drunkard,0.873
gunslinger,0.873
suicide,0.873
abuse,0.873
conquering,0.873
amazedness,0.872
innovate,0.872
barrage,0.871
defending,0.871
provoke,0.871
compulsive,0.871
disturbed,0.87
erotica,0.87
sparring,0.87
intensify,0.87
poisonous,0.87
infuriating,0.87
sniper,0.87
vulgarity,0.87
betray,0.87
mobster,0.87
stormy,0.87
destructive,0.87
quartered,0.87
confrontation,0.87
mayhem,0.87
vagina,0.87
deranged,0.868
bombshell,0.868
overthrow,0.868
disobedience,0.868
