DateTime,Text,Words_VAD_Emotion,Tweet_VAD_Emotion,Segment_ID
2021-01-08 18:26:55+00:00,"RT @FFFIndia: #Fridaysforfuture 
#ClimateStrike 

Air Pollution.
Uncertain weather conditions.
Arising threat of more pandemics.

Our house…","{""weather"": {""valence"": 0.755, ""arousal"": 0.404, ""dominance"": 0.567, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""threat"": {""valence"": 0.135, ""arousal"": 0.865, ""dominance"": 0.667, ""emotion"": [1, 1, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.445, ""arousal"": 0.6345000000000001, ""dominance"": 0.617, ""emotion"": [0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
2021-01-08 18:27:20+00:00,"RT @moogysmaszimo: 100 Weeks Iowa City Climate Strike
2020 was the hottest year on record. Still we burn coal in Iowa--and have no climate…","{""city"": {""valence"": 0.847, ""arousal"": 0.531, ""dominance"": 0.508, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""climate"": {""valence"": 0.635, ""arousal"": 0.24, ""dominance"": 0.483, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""year"": {""valence"": 0.542, ""arousal"": 0.284, ""dominance"": 0.415, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""record"": {""valence"": 0.552, ""arousal"": 0.421, ""dominance"": 0.5, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""burn"": {""valence"": 0.219, ""arousal"": 0.783, ""dominance"": 0.509, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""coal"": {""valence"": 0.36, ""arousal"": 0.241, ""dominance"": 0.34, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""have"": {""valence"": 0.757, ""arousal"": 0.389, ""dominance"": 0.593, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.5588571428571428, ""arousal"": 0.41271428571428576, ""dominance"": 0.47828571428571426, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
2021-01-08 18:33:15+00:00,"Logic tells us, the fact this is ignored - or in the best case treated as a minor news story - means:
-There's no c… https://t.co/C6j4ldDI5j","{""logic"": {""valence"": 0.646, ""arousal"": 0.245, ""dominance"": 0.819, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""fact"": {""valence"": 0.683, ""arousal"": 0.333, ""dominance"": 0.618, ""emotion"": [0, 0, 0, 1, 0, 0, 0, 0]}, ""case"": {""valence"": 0.427, ""arousal"": 0.275, ""dominance"": 0.441, ""emotion"": [0, 1, 0, 0, 0, 1, 0, 0]}, ""minor"": {""valence"": 0.25, ""arousal"": 0.235, ""dominance"": 0.175, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""news"": {""valence"": 0.633, ""arousal"": 0.58, ""dominance"": 0.61, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""story"": {""valence"": 0.653, ""arousal"": 0.406, ""dominance"": 0.704, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.5486666666666667, ""arousal"": 0.34566666666666673, ""dominance"": 0.5611666666666667, ""emotion"": [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.0]}",0
2021-01-08 18:39:24+00:00,"RT @fff_saudiarabia: No one is too small to make a difference, but to have a true and direct effect, we must unite. @samiamakki733 @symceso…","{""one"": {""valence"": 0.542, ""arousal"": 0.292, ""dominance"": 0.37, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""small"": {""valence"": 0.542, ""arousal"": 0.205, ""dominance"": 0.12, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""make"": {""valence"": 0.684, ""arousal"": 0.42, ""dominance"": 0.48, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""difference"": {""valence"": 0.474, ""arousal"": 0.56, ""dominance"": 0.483, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""have"": {""valence"": 0.757, ""arousal"": 0.389, ""dominance"": 0.593, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""direct"": {""valence"": 0.793, ""arousal"": 0.403, ""dominance"": 0.65, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""effect"": {""valence"": 0.57, ""arousal"": 0.518, ""dominance"": 0.608, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""must"": {""valence"": 0.408, ""arousal"": 0.382, ""dominance"": 0.441, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""unite"": {""valence"": 0.781, ""arousal"": 0.375, ""dominance"": 0.61, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.6167777777777778, ""arousal"": 0.3937777777777778, ""dominance"": 0.4838888888888888, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
2021-01-08 18:53:47+00:00,"RT @climateloops: Join us tomorrow at 10:30 pm EST as @DalaiLama, @GretaThunberg, and leading scientists address the current climate crisis…","{""join"": {""valence"": 0.729, ""arousal"": 0.479, ""dominance"": 0.684, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""tomorrow"": {""valence"": 0.792, ""arousal"": 0.377, ""dominance"": 0.407, ""emotion"": [0, 0, 1, 0, 0, 0, 0, 0]}, ""leading"": {""valence"": 0.823, ""arousal"": 0.698, ""dominance"": 0.954, ""emotion"": [0, 0, 0, 1, 0, 0, 0, 0]}, ""address"": {""valence"": 0.65, ""arousal"": 0.327, ""dominance"": 0.567, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""current"": {""valence"": 0.625, ""arousal"": 0.312, ""dominance"": 0.612, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""climate"": {""valence"": 0.635, ""arousal"": 0.24, ""dominance"": 0.483, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.709, ""arousal"": 0.40549999999999997, ""dominance"": 0.6178333333333333, ""emotion"": [0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]}",0
2021-01-09 09:24:29+00:00,"RT @hausfath: Based on the latest ERA5 data, 2020 was the warmest on record over land by a fair margin, tied for the warmest for the global…","{""data"": {""valence"": 0.5, ""arousal"": 0.25, ""dominance"": 0.426, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""record"": {""valence"": 0.552, ""arousal"": 0.421, ""dominance"": 0.5, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""land"": {""valence"": 0.582, ""arousal"": 0.26, ""dominance"": 0.616, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""fair"": {""valence"": 0.812, ""arousal"": 0.557, ""dominance"": 0.643, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""margin"": {""valence"": 0.5, ""arousal"": 0.219, ""dominance"": 0.331, ""emotion"": [0, 0, 0, 0, 0, 1, 0, 0]}}","{""valence"": 0.5892, ""arousal"": 0.34140000000000004, ""dominance"": 0.5031999999999999, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0]}",0
2021-01-09 10:06:30+00:00,"RT @MakichyanA: My 95th week. According to the new laws, anyone in Russia can now be labeled a foreign agent, charged with a lot of fines,…","{""week"": {""valence"": 0.51, ""arousal"": 0.231, ""dominance"": 0.351, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""new"": {""valence"": 0.917, ""arousal"": 0.49, ""dominance"": 0.582, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""can"": {""valence"": 0.662, ""arousal"": 0.36, ""dominance"": 0.454, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""be"": {""valence"": 0.67, ""arousal"": 0.24, ""dominance"": 0.554, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""foreign"": {""valence"": 0.573, ""arousal"": 0.681, ""dominance"": 0.385, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""agent"": {""valence"": 0.48, ""arousal"": 0.439, ""dominance"": 0.755, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""lot"": {""valence"": 0.531, ""arousal"": 0.215, ""dominance"": 0.37, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.6204285714285714, ""arousal"": 0.3794285714285714, ""dominance"": 0.493, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
2021-01-09 13:53:31+00:00,"UK government has announced ""a bee-killing pesticide so poisonous that it is banned by the EU"" may be used in Engla… https://t.co/3S0c9vDM69","{""government"": {""valence"": 0.427, ""arousal"": 0.53, ""dominance"": 0.85, ""emotion"": [0, 1, 0, 0, 0, 0, 0, 0]}, ""poisonous"": {""valence"": 0.102, ""arousal"": 0.87, ""dominance"": 0.533, ""emotion"": [1, 1, 0, 0, 0, 1, 0, 1]}, ""may"": {""valence"": 0.704, ""arousal"": 0.273, ""dominance"": 0.245, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""be"": {""valence"": 0.67, ""arousal"": 0.24, ""dominance"": 0.554, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""used"": {""valence"": 0.354, ""arousal"": 0.306, ""dominance"": 0.287, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.4514, ""arousal"": 0.4438, ""dominance"": 0.49380000000000007, ""emotion"": [0.2, 0.4, 0.0, 0.0, 0.0, 0.2, 0.0, 0.2]}",0
2021-01-09 14:10:59+00:00,RT @DalaiLama: Watch Live - HHDL in  conversation with Greta Thunberg and leading scientists on the Climate Crisis of Feedback Loops on Jan…,"{""watch"": {""valence"": 0.531, ""arousal"": 0.346, ""dominance"": 0.423, ""emotion"": [0, 1, 1, 0, 0, 0, 0, 0]}, ""live"": {""valence"": 0.88, ""arousal"": 0.673, ""dominance"": 0.676, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""conversation"": {""valence"": 0.75, ""arousal"": 0.51, ""dominance"": 0.609, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""leading"": {""valence"": 0.823, ""arousal"": 0.698, ""dominance"": 0.954, ""emotion"": [0, 0, 0, 1, 0, 0, 0, 0]}, ""climate"": {""valence"": 0.635, ""arousal"": 0.24, ""dominance"": 0.483, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""crisis"": {""valence"": 0.208, ""arousal"": 0.811, ""dominance"": 0.431, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""feedback"": {""valence"": 0.622, ""arousal"": 0.557, ""dominance"": 0.645, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.6355714285714286, ""arousal"": 0.5478571428571429, ""dominance"": 0.603, ""emotion"": [0.0, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.0, 0.0, 0.0, 0.0]}",0
2021-01-09 19:32:19+00:00,"Tonight 19:30 PST/04:30 ECT you can watch a live conversation between me, HH Dalai Lama, Dr Diana Chapman Walsh, Dr… https://t.co/pCE6Ml0hLN","{""can"": {""valence"": 0.662, ""arousal"": 0.36, ""dominance"": 0.454, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""watch"": {""valence"": 0.531, ""arousal"": 0.346, ""dominance"": 0.423, ""emotion"": [0, 1, 1, 0, 0, 0, 0, 0]}, ""live"": {""valence"": 0.88, ""arousal"": 0.673, ""dominance"": 0.676, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""conversation"": {""valence"": 0.75, ""arousal"": 0.51, ""dominance"": 0.609, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""lama"": {""valence"": 0.56, ""arousal"": 0.32, ""dominance"": 0.4, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""chapman"": {""valence"": 0.562, ""arousal"": 0.529, ""dominance"": 0.465, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.6575000000000001, ""arousal"": 0.4563333333333333, ""dominance"": 0.5045, ""emotion"": [0.0, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
