Segment_ID,DateTime,Segment_VAD_Emotion,Emotion_VAD
0,2021-01-08 18:26:55+00:00,"{""valence"": 0.5669000992063492, ""arousal"": 0.4742434027777778, ""dominance"": 0.5430359126984127, ""emotion"": [0.09166666666666666, 0.14226190476190476, 0.05267857142857143, 0.06101190476190476, 0.02291666666666667, 0.04583333333333333, 0.03125, 0.04791666666666667]}","[{""valence"": 0.16016666666666665, ""arousal"": 0.8636666666666667, ""dominance"": 0.5741666666666667}, {""valence"": 0.2977272727272728, ""arousal"": 0.6495454545454546, ""dominance"": 0.5777272727272726}, {""valence"": 0.5478000000000001, ""arousal"": 0.476, ""dominance"": 0.5334}, {""valence"": 0.7397499999999999, ""arousal"": 0.5087499999999999, ""dominance"": 0.71475}, {""valence"": 0.097, ""arousal"": 0.905, ""dominance"": 0.5245}, {""valence"": 0.27775000000000005, ""arousal"": 0.564, ""dominance"": 0.43450000000000005}, {""valence"": 0.63, ""arousal"": 0.306, ""dominance"": 0.333}, {""valence"": 0.08675000000000001, ""arousal"": 0.887, ""dominance"": 0.48775}]"
1,2021-01-13 10:15:37+00:00,"{""valence"": 0.5740802857142857, ""arousal"": 0.402831746031746, ""dominance"": 0.5047459682539682, ""emotion"": [0.043809523809523805, 0.04507936507936508, 0.02825396825396825, 0.09498412698412696, 0.0, 0.021587301587301586, 0.006666666666666666, 0.0]}","[{""valence"": 0.32685714285714285, ""arousal"": 0.7127142857142857, ""dominance"": 0.5391428571428571}, {""valence"": 0.33187500000000003, ""arousal"": 0.5972500000000001, ""dominance"": 0.48225}, {""valence"": 0.527, ""arousal"": 0.487, ""dominance"": 0.5098}, {""valence"": 0.6996, ""arousal"": 0.42829999999999996, ""dominance"": 0.662}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.1285, ""arousal"": 0.606, ""dominance"": 0.35225}, {""valence"": 0.75, ""arousal"": 0.36, ""dominance"": 0.727}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
2,2021-01-16 10:59:41+00:00,"{""valence"": 0.5924618594104306, ""arousal"": 0.4656633900226757, ""dominance"": 0.5526651587301585, ""emotion"": [0.06094104308390021, 0.0673922902494331, 0.08375283446712017, 0.11018140589569163, 0.035748299319727894, 0.06789115646258503, 0.047857142857142855, 0.039047619047619046]}","[{""valence"": 0.324, ""arousal"": 0.7496250000000001, ""dominance"": 0.60475}, {""valence"": 0.3429, ""arousal"": 0.6747000000000001, ""dominance"": 0.5751}, {""valence"": 0.7238823529411763, ""arousal"": 0.4963529411764706, ""dominance"": 0.6029411764705882}, {""valence"": 0.7518095238095238, ""arousal"": 0.5241904761904762, ""dominance"": 0.6971904761904762}, {""valence"": 0.5852857142857143, ""arousal"": 0.5745714285714286, ""dominance"": 0.5922857142857143}, {""valence"": 0.24477777777777782, ""arousal"": 0.597, ""dominance"": 0.4315555555555556}, {""valence"": 0.8333999999999999, ""arousal"": 0.5368, ""dominance"": 0.6624000000000001}, {""valence"": 0.2703333333333333, ""arousal"": 0.5206666666666667, ""dominance"": 0.37366666666666665}]"
3,2021-01-23 09:34:52+00:00,"{""valence"": 0.5839985615079365, ""arousal"": 0.44253164682539675, ""dominance"": 0.5525915674603173, ""emotion"": [0.03373015873015873, 0.08129960317460318, 0.05734126984126984, 0.0744047619047619, 0.026041666666666668, 0.0660218253968254, 0.0441468253968254, 0.020833333333333332]}","[{""valence"": 0.37425, ""arousal"": 0.6527499999999999, ""dominance"": 0.4720000000000001}, {""valence"": 0.3769, ""arousal"": 0.6006000000000001, ""dominance"": 0.4840000000000001}, {""valence"": 0.716857142857143, ""arousal"": 0.45228571428571435, ""dominance"": 0.5830000000000001}, {""valence"": 0.7937777777777777, ""arousal"": 0.49211111111111117, ""dominance"": 0.6993333333333334}, {""valence"": 0.6443333333333333, ""arousal"": 0.5153333333333333, ""dominance"": 0.6136666666666667}, {""valence"": 0.27325, ""arousal"": 0.54825, ""dominance"": 0.405625}, {""valence"": 0.8638, ""arousal"": 0.4391999999999999, ""dominance"": 0.6809999999999999}, {""valence"": 0.452, ""arousal"": 0.588, ""dominance"": 0.43400000000000005}]"
4,2021-01-29 06:49:33+00:00,"{""valence"": 0.5894115714285715, ""arousal"": 0.4491023333333334, ""dominance"": 0.5532835714285714, ""emotion"": [0.05371428571428571, 0.0618095238095238, 0.04857142857142857, 0.07790476190476191, 0.035476190476190474, 0.045714285714285714, 0.028095238095238093, 0.02]}","[{""valence"": 0.389125, ""arousal"": 0.5347500000000001, ""dominance"": 0.5536249999999999}, {""valence"": 0.35850000000000004, ""arousal"": 0.6811, ""dominance"": 0.6204999999999998}, {""valence"": 0.64925, ""arousal"": 0.46274999999999994, ""dominance"": 0.569875}, {""valence"": 0.7216666666666667, ""arousal"": 0.41183333333333333, ""dominance"": 0.6541666666666667}, {""valence"": 0.4591666666666667, ""arousal"": 0.6191666666666666, ""dominance"": 0.5418333333333333}, {""valence"": 0.24142857142857146, ""arousal"": 0.6008571428571429, ""dominance"": 0.4858571428571428}, {""valence"": 0.8562, ""arousal"": 0.4417999999999999, ""dominance"": 0.6316}, {""valence"": 0.3353333333333333, ""arousal"": 0.38833333333333336, ""dominance"": 0.4586666666666666}]"
5,2021-01-30 15:13:54+00:00,"{""valence"": 0.54470319664903, ""arousal"": 0.4753578042328043, ""dominance"": 0.5371992504409171, ""emotion"": [0.06126543209876542, 0.09753086419753086, 0.05432098765432098, 0.12160493827160493, 0.02345679012345679, 0.05123456790123457, 0.012345679012345678, 0.017283950617283952]}","[{""valence"": 0.29150000000000004, ""arousal"": 0.7065000000000001, ""dominance"": 0.5456666666666666}, {""valence"": 0.292, ""arousal"": 0.6768571428571428, ""dominance"": 0.48685714285714293}, {""valence"": 0.6123333333333334, ""arousal"": 0.3566666666666667, ""dominance"": 0.5361666666666666}, {""valence"": 0.6590999999999999, ""arousal"": 0.44299999999999995, ""dominance"": 0.6502999999999999}, {""valence"": 0.852, ""arousal"": 0.46, ""dominance"": 0.594}, {""valence"": 0.2645, ""arousal"": 0.6675, ""dominance"": 0.446}, {""valence"": 0.8615, ""arousal"": 0.4145, ""dominance"": 0.6285000000000001}, {""valence"": 0.4335, ""arousal"": 0.5575, ""dominance"": 0.49050000000000005}]"
6,2021-02-03 15:23:34+00:00,"{""valence"": 0.5849390873015873, ""arousal"": 0.4428520502645503, ""dominance"": 0.547678091931217, ""emotion"": [0.049586640211640214, 0.07395833333333333, 0.07185846560846561, 0.08981481481481483, 0.033796296296296297, 0.012962962962962963, 0.045023148148148145, 0.008333333333333333]}","[{""valence"": 0.32866666666666666, ""arousal"": 0.797, ""dominance"": 0.6482222222222221}, {""valence"": 0.38575, ""arousal"": 0.7300833333333334, ""dominance"": 0.6408333333333333}, {""valence"": 0.7170909090909091, ""arousal"": 0.4485454545454546, ""dominance"": 0.6369999999999999}, {""valence"": 0.7109285714285714, ""arousal"": 0.47435714285714287, ""dominance"": 0.724357142857143}, {""valence"": 0.7234, ""arousal"": 0.43660000000000004, ""dominance"": 0.6254}, {""valence"": 0.115, ""arousal"": 0.7325, ""dominance"": 0.289}, {""valence"": 0.7728571428571429, ""arousal"": 0.3974285714285714, ""dominance"": 0.679142857142857}, {""valence"": 0.031, ""arousal"": 0.802, ""dominance"": 0.43}]"
7,2021-02-06 07:52:43+00:00,"{""valence"": 0.5824605296664123, ""arousal"": 0.42912145615822095, ""dominance"": 0.5487924730498259, ""emotion"": [0.02890247007894067, 0.05177828707240472, 0.045242339359986415, 0.07542865631100926, 0.03819709702062643, 0.052595280536457005, 0.02750190985485103, 0.03090781767252356]}","[{""valence"": 0.22625, ""arousal"": 0.76, ""dominance"": 0.5585}, {""valence"": 0.22885714285714287, ""arousal"": 0.6828571428571429, ""dominance"": 0.515}, {""valence"": 0.8284, ""arousal"": 0.3944, ""dominance"": 0.6247999999999999}, {""valence"": 0.7854545454545455, ""arousal"": 0.482, ""dominance"": 0.7118181818181818}, {""valence"": 0.5746666666666665, ""arousal"": 0.6443333333333333, ""dominance"": 0.6128333333333333}, {""valence"": 0.196, ""arousal"": 0.681, ""dominance"": 0.4862857142857143}, {""valence"": 0.89325, ""arousal"": 0.5035000000000001, ""dominance"": 0.758}, {""valence"": 0.061500000000000006, ""arousal"": 0.695, ""dominance"": 0.42275}]"
8,2021-02-11 06:24:09+00:00,"{""valence"": 0.5932599896480333, ""arousal"": 0.3990959627329192, ""dominance"": 0.5101589544513457, ""emotion"": [0.055538302277432706, 0.027587991718426498, 0.06288819875776397, 0.07080745341614907, 0.02613871635610766, 0.02282608695652174, 0.044772256728778465, 0.01594202898550725]}","[{""valence"": 0.3795714285714285, ""arousal"": 0.7397142857142857, ""dominance"": 0.568}, {""valence"": 0.586, ""arousal"": 0.6435, ""dominance"": 0.6005}, {""valence"": 0.7095555555555556, ""arousal"": 0.49144444444444446, ""dominance"": 0.6563333333333332}, {""valence"": 0.67225, ""arousal"": 0.38449999999999995, ""dominance"": 0.527}, {""valence"": 0.72675, ""arousal"": 0.52225, ""dominance"": 0.5755}, {""valence"": 0.29333333333333333, ""arousal"": 0.5613333333333334, ""dominance"": 0.42366666666666664}, {""valence"": 0.7454285714285714, ""arousal"": 0.47657142857142853, ""dominance"": 0.6047142857142856}, {""valence"": 0.3015, ""arousal"": 0.6755, ""dominance"": 0.515}]"
9,2021-02-13 08:19:20+00:00,"{""valence"": 0.5667269055944055, ""arousal"": 0.4222583062770563, ""dominance"": 0.518974306943057, ""emotion"": [0.032974941724941725, 0.025534465534465534, 0.10297619047619047, 0.06505952380952382, 0.019128787878787877, 0.013846153846153847, 0.027976190476190477, 0.013392857142857142]}","[{""valence"": 0.2818, ""arousal"": 0.7484, ""dominance"": 0.5589999999999999}, {""valence"": 0.18025, ""arousal"": 0.7092499999999999, ""dominance"": 0.4905}, {""valence"": 0.6781666666666667, ""arousal"": 0.49999999999999994, ""dominance"": 0.6761666666666666}, {""valence"": 0.73, ""arousal"": 0.47911111111111115, ""dominance"": 0.7247777777777777}, {""valence"": 0.6396666666666667, ""arousal"": 0.6176666666666667, ""dominance"": 0.705}, {""valence"": 0.07100000000000001, ""arousal"": 0.7295, ""dominance"": 0.49449999999999994}, {""valence"": 0.8714999999999999, ""arousal"": 0.5189999999999999, ""dominance"": 0.77125}, {""valence"": 0.153, ""arousal"": 0.46, ""dominance"": 0.17}]"
