DateTime,Text,Words_VAD_Emotion,Tweet_VAD_Emotion,Segment_ID
2021-02-19 23:33:53+00:00,@BenSullins @samsheffer What about in a huge space where humidifiers don’t work well enough to stop all the shocks,"{""huge"": {""valence"": 0.573, ""arousal"": 0.625, ""dominance"": 0.783, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""space"": {""valence"": 0.8, ""arousal"": 0.317, ""dominance"": 0.573, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""work"": {""valence"": 0.719, ""arousal"": 0.596, ""dominance"": 0.75, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""stop"": {""valence"": 0.28, ""arousal"": 0.51, ""dominance"": 0.49, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.593, ""arousal"": 0.512, ""dominance"": 0.649, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
2021-02-20 15:21:04+00:00,"@GadgetsBoy @MykeDotA @SomeGadgetGuy @Mrwhosetheboss Can I get an Amen
It always amazes me that people paint every… https://t.co/ARXDQiU9j5","{""can"": {""valence"": 0.662, ""arousal"": 0.36, ""dominance"": 0.454, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""get"": {""valence"": 0.74, ""arousal"": 0.594, ""dominance"": 0.667, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""people"": {""valence"": 0.604, ""arousal"": 0.4, ""dominance"": 0.5, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""paint"": {""valence"": 0.667, ""arousal"": 0.343, ""dominance"": 0.413, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.66825, ""arousal"": 0.42425, ""dominance"": 0.5085, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
2021-02-20 15:50:43+00:00,@tasosjw !!!!! !!!!!!!,{},{},0
2021-02-20 16:24:27+00:00,"My new Impossible Dream Phone 2021:
📱Display from Galaxy S21 Ultra (120Hz 1440p OLED)
📦Size/boxy shape of iPhone 12… https://t.co/AEGkhZuCdx","{""new"": {""valence"": 0.917, ""arousal"": 0.49, ""dominance"": 0.582, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""impossible"": {""valence"": 0.153, ""arousal"": 0.51, ""dominance"": 0.407, ""emotion"": [0, 0, 0, 0, 0, 1, 0, 0]}, ""dream"": {""valence"": 0.844, ""arousal"": 0.157, ""dominance"": 0.328, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""phone"": {""valence"": 0.729, ""arousal"": 0.344, ""dominance"": 0.418, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""galaxy"": {""valence"": 0.75, ""arousal"": 0.571, ""dominance"": 0.75, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""shape"": {""valence"": 0.592, ""arousal"": 0.24, ""dominance"": 0.422, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.6641666666666667, ""arousal"": 0.38533333333333336, ""dominance"": 0.4845, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0]}",0
2021-02-20 16:26:46+00:00,"@jhaverinator I don't mind some thiccness in my dream phone but on the theme of impossible, let's hit the weight of the iPhone 12","{""mind"": {""valence"": 0.65, ""arousal"": 0.388, ""dominance"": 0.627, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""dream"": {""valence"": 0.844, ""arousal"": 0.157, ""dominance"": 0.328, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""phone"": {""valence"": 0.729, ""arousal"": 0.344, ""dominance"": 0.418, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""theme"": {""valence"": 0.541, ""arousal"": 0.176, ""dominance"": 0.427, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""impossible"": {""valence"": 0.153, ""arousal"": 0.51, ""dominance"": 0.407, ""emotion"": [0, 0, 0, 0, 0, 1, 0, 0]}, ""hit"": {""valence"": 0.235, ""arousal"": 0.931, ""dominance"": 0.679, ""emotion"": [1, 0, 0, 0, 0, 0, 0, 0]}, ""weight"": {""valence"": 0.45, ""arousal"": 0.38, ""dominance"": 0.577, ""emotion"": [0, 1, 1, 1, 1, 1, 1, 1]}}","{""valence"": 0.5145714285714286, ""arousal"": 0.4122857142857143, ""dominance"": 0.4947142857142857, ""emotion"": [0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285]}",0
2021-02-20 16:27:43+00:00,@Jammytoastt Popup is cool with me,"{""cool"": {""valence"": 0.885, ""arousal"": 0.54, ""dominance"": 0.781, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.885, ""arousal"": 0.54, ""dominance"": 0.781, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
2021-02-20 16:28:44+00:00,@C1036221046 Ran out of characters but yes front facing stereo speakers please,"{""front"": {""valence"": 0.677, ""arousal"": 0.35, ""dominance"": 0.623, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""facing"": {""valence"": 0.604, ""arousal"": 0.406, ""dominance"": 0.55, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""stereo"": {""valence"": 0.617, ""arousal"": 0.519, ""dominance"": 0.5, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.6326666666666667, ""arousal"": 0.425, ""dominance"": 0.5576666666666666, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
2021-02-20 16:30:02+00:00,"@SAGY009 My personal impossible dream phone has moved on from the headphone jack, runs Android 12 but also somehow… https://t.co/wozVGgTFBl","{""personal"": {""valence"": 0.75, ""arousal"": 0.311, ""dominance"": 0.467, ""emotion"": [0, 0, 0, 1, 0, 0, 0, 0]}, ""impossible"": {""valence"": 0.153, ""arousal"": 0.51, ""dominance"": 0.407, ""emotion"": [0, 0, 0, 0, 0, 1, 0, 0]}, ""dream"": {""valence"": 0.844, ""arousal"": 0.157, ""dominance"": 0.328, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""phone"": {""valence"": 0.729, ""arousal"": 0.344, ""dominance"": 0.418, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""jack"": {""valence"": 0.487, ""arousal"": 0.45, ""dominance"": 0.441, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""android"": {""valence"": 0.663, ""arousal"": 0.436, ""dominance"": 0.5, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.6043333333333334, ""arousal"": 0.36800000000000005, ""dominance"": 0.42683333333333334, ""emotion"": [0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.0]}",0
2021-02-20 16:30:15+00:00,@RubenKelevra Let's not get carried away 😅,"{""get"": {""valence"": 0.74, ""arousal"": 0.594, ""dominance"": 0.667, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""carried"": {""valence"": 0.49, ""arousal"": 0.382, ""dominance"": 0.534, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.615, ""arousal"": 0.488, ""dominance"": 0.6005, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
2021-02-20 16:30:39+00:00,@dominikpatera Imagine thinking anyone not using an iPhone is a clown 🤡,"{""imagine"": {""valence"": 0.759, ""arousal"": 0.48, ""dominance"": 0.587, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""thinking"": {""valence"": 0.72, ""arousal"": 0.308, ""dominance"": 0.595, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""clown"": {""valence"": 0.65, ""arousal"": 0.598, ""dominance"": 0.3, ""emotion"": [0, 0, 1, 0, 1, 0, 1, 0]}}","{""valence"": 0.7096666666666667, ""arousal"": 0.462, ""dominance"": 0.494, ""emotion"": [0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]}",0
