Segment_ID,DateTime,Segment_VAD_Emotion,Emotion_VAD
0,2021-02-19 23:33:53+00:00,"{""valence"": 0.6248680952380953, ""arousal"": 0.46187349206349204, ""dominance"": 0.539567619047619, ""emotion"": [0.009523809523809523, 0.04507936507936508, 0.06063492063492063, 0.1273015873015873, 0.031746031746031744, 0.04793650793650793, 0.04507936507936508, 0.04952380952380952]}","[{""valence"": 0.235, ""arousal"": 0.931, ""dominance"": 0.679}, {""valence"": 0.609, ""arousal"": 0.441, ""dominance"": 0.5259999999999999}, {""valence"": 0.61875, ""arousal"": 0.45775, ""dominance"": 0.43574999999999997}, {""valence"": 0.6934, ""arousal"": 0.4532, ""dominance"": 0.5940000000000001}, {""valence"": 0.55, ""arousal"": 0.489, ""dominance"": 0.4385}, {""valence"": 0.3484, ""arousal"": 0.4946, ""dominance"": 0.4806}, {""valence"": 0.702, ""arousal"": 0.51425, ""dominance"": 0.51075}, {""valence"": 0.32, ""arousal"": 0.41733333333333333, ""dominance"": 0.297}]"
1,2021-02-23 00:39:44+00:00,"{""valence"": 0.6043748571428571, ""arousal"": 0.4057245714285714, ""dominance"": 0.48798447619047614, ""emotion"": [0.023714285714285716, 0.0360952380952381, 0.09285714285714285, 0.048, 0.02, 0.05038095238095239, 0.045714285714285714, 0.031714285714285716]}","[{""valence"": 0.13399999999999998, ""arousal"": 0.575, ""dominance"": 0.23700000000000002}, {""valence"": 0.38780000000000003, ""arousal"": 0.4735999999999999, ""dominance"": 0.3532}, {""valence"": 0.56775, ""arousal"": 0.38299999999999995, ""dominance"": 0.533375}, {""valence"": 0.63, ""arousal"": 0.358, ""dominance"": 0.585}, {""valence"": 0.125, ""arousal"": 0.427, ""dominance"": 0.259}, {""valence"": 0.1658, ""arousal"": 0.46299999999999997, ""dominance"": 0.2192}, {""valence"": 0.9590000000000001, ""arousal"": 0.681, ""dominance"": 0.67}, {""valence"": 0.189, ""arousal"": 0.4385, ""dominance"": 0.176}]"
2,2021-02-28 03:46:29+00:00,"{""valence"": 0.6313975694444444, ""arousal"": 0.44838125, ""dominance"": 0.5257819444444445, ""emotion"": [0.07638888888888888, 0.0625, 0.057291666666666664, 0.13020833333333334, 0.013888888888888888, 0.08333333333333333, 0.03472222222222222, 0.027777777777777776]}","[{""valence"": 0.29666666666666663, ""arousal"": 0.6136666666666667, ""dominance"": 0.5093333333333333}, {""valence"": 0.234, ""arousal"": 0.38049999999999995, ""dominance"": 0.21550000000000002}, {""valence"": 0.7581666666666668, ""arousal"": 0.503, ""dominance"": 0.597}, {""valence"": 0.6604285714285715, ""arousal"": 0.42028571428571426, ""dominance"": 0.5617142857142857}, {""valence"": 0.582, ""arousal"": 0.5, ""dominance"": 0.649}, {""valence"": 0.2885, ""arousal"": 0.423, ""dominance"": 0.304}, {""valence"": 0.753, ""arousal"": 0.6303333333333333, ""dominance"": 0.6203333333333334}, {""valence"": 0.0885, ""arousal"": 0.4205, ""dominance"": 0.168}]"
3,2021-03-06 00:56:30+00:00,"{""valence"": 0.6712766025641025, ""arousal"": 0.46392774725274727, ""dominance"": 0.538834706959707, ""emotion"": [0.040109890109890106, 0.030128205128205125, 0.09304029304029306, 0.05384615384615384, 0.04972527472527473, 0.03241758241758241, 0.05384615384615384, 0.04395604395604395]}","[{""valence"": 0.252, ""arousal"": 0.7114999999999999, ""dominance"": 0.4245}, {""valence"": 0.4303333333333334, ""arousal"": 0.49300000000000005, ""dominance"": 0.48466666666666663}, {""valence"": 0.6549, ""arousal"": 0.4269, ""dominance"": 0.5353999999999999}, {""valence"": 0.8128, ""arousal"": 0.43500000000000005, ""dominance"": 0.5970000000000001}, {""valence"": 0.5878, ""arousal"": 0.582, ""dominance"": 0.6076}, {""valence"": 0.3356666666666667, ""arousal"": 0.719, ""dominance"": 0.4746666666666666}, {""valence"": 0.8128, ""arousal"": 0.43500000000000005, ""dominance"": 0.5970000000000001}, {""valence"": 0.2906666666666667, ""arousal"": 0.584, ""dominance"": 0.32733333333333337}]"
4,2021-03-11 03:31:38+00:00,"{""valence"": 0.6176093317972348, ""arousal"": 0.45639420122887864, ""dominance"": 0.49907096774193555, ""emotion"": [0.02400153609831029, 0.02553763440860215, 0.06993087557603686, 0.04408602150537634, 0.02795698924731183, 0.024769585253456218, 0.04811827956989247, 0.009984639016897081]}","[{""valence"": 0.21925, ""arousal"": 0.67025, ""dominance"": 0.309}, {""valence"": 0.25375, ""arousal"": 0.6395, ""dominance"": 0.28375}, {""valence"": 0.724, ""arousal"": 0.5232222222222223, ""dominance"": 0.5732222222222221}, {""valence"": 0.6124, ""arousal"": 0.3376, ""dominance"": 0.47800000000000004}, {""valence"": 0.6786666666666666, ""arousal"": 0.513, ""dominance"": 0.496}, {""valence"": 0.29075, ""arousal"": 0.7164999999999999, ""dominance"": 0.34349999999999997}, {""valence"": 0.8464, ""arousal"": 0.6562, ""dominance"": 0.6106}, {""valence"": 0.202, ""arousal"": 0.717, ""dominance"": 0.311}]"
5,2021-03-18 01:47:29+00:00,"{""valence"": 0.6052453333333332, ""arousal"": 0.42713366666666663, ""dominance"": 0.5199626666666667, ""emotion"": [0.025333333333333333, 0.064, 0.05733333333333333, 0.088, 0.01, 0.029333333333333336, 0.049, 0.021333333333333333]}","[{""valence"": 0.16633333333333336, ""arousal"": 0.5716666666666667, ""dominance"": 0.3353333333333333}, {""valence"": 0.466, ""arousal"": 0.5643999999999999, ""dominance"": 0.5630000000000001}, {""valence"": 0.6951666666666666, ""arousal"": 0.46416666666666667, ""dominance"": 0.5758333333333333}, {""valence"": 0.7445454545454545, ""arousal"": 0.4440909090909091, ""dominance"": 0.6027272727272728}, {""valence"": 0.938, ""arousal"": 0.368, ""dominance"": 0.534}, {""valence"": 0.32, ""arousal"": 0.42975, ""dominance"": 0.32}, {""valence"": 0.8903333333333334, ""arousal"": 0.5055000000000001, ""dominance"": 0.6656666666666666}, {""valence"": 0.0465, ""arousal"": 0.6315000000000001, ""dominance"": 0.309}]"
6,2021-03-24 11:26:13+00:00,"{""valence"": 0.6534463601532565, ""arousal"": 0.46424607279693497, ""dominance"": 0.5506158045977012, ""emotion"": [0.033524904214559385, 0.05842911877394636, 0.22270114942528735, 0.1590038314176245, 0.11494252873563217, 0.008620689655172414, 0.21455938697318006, 0.008620689655172414]}","[{""valence"": 0.0926, ""arousal"": 0.7886, ""dominance"": 0.4332}, {""valence"": 0.25575000000000003, ""arousal"": 0.6985, ""dominance"": 0.544}, {""valence"": 0.7580000000000001, ""arousal"": 0.5290769230769231, ""dominance"": 0.5713076923076923}, {""valence"": 0.8876666666666667, ""arousal"": 0.5755555555555555, ""dominance"": 0.6712222222222223}, {""valence"": 0.8996666666666666, ""arousal"": 0.628, ""dominance"": 0.5701666666666667}, {""valence"": 0.031, ""arousal"": 0.802, ""dominance"": 0.43}, {""valence"": 0.9031428571428572, ""arousal"": 0.6143571428571429, ""dominance"": 0.654}, {""valence"": 0.031, ""arousal"": 0.802, ""dominance"": 0.43}]"
7,2021-03-30 13:15:40+00:00,"{""valence"": 0.6305334175084176, ""arousal"": 0.4323159090909092, ""dominance"": 0.530754797979798, ""emotion"": [0.006060606060606061, 0.03232323232323232, 0.1074915824915825, 0.08838383838383838, 0.023737373737373738, 0.026262626262626265, 0.028787878787878786, 0.0]}","[{""valence"": 0.663, ""arousal"": 0.679, ""dominance"": 0.637}, {""valence"": 0.374, ""arousal"": 0.71225, ""dominance"": 0.46624999999999994}, {""valence"": 0.7488333333333334, ""arousal"": 0.44133333333333336, ""dominance"": 0.5895833333333332}, {""valence"": 0.77175, ""arousal"": 0.44087499999999996, ""dominance"": 0.6587500000000001}, {""valence"": 0.7983333333333335, ""arousal"": 0.37333333333333335, ""dominance"": 0.6986666666666667}, {""valence"": 0.2416666666666667, ""arousal"": 0.7363333333333334, ""dominance"": 0.385}, {""valence"": 0.8175000000000001, ""arousal"": 0.40900000000000003, ""dominance"": 0.66425}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
8,2021-04-08 12:00:43+00:00,"{""valence"": 0.663553663003663, ""arousal"": 0.4447675824175824, ""dominance"": 0.5143416666666666, ""emotion"": [0.00641025641025641, 0.019230769230769232, 0.06858974358974358, 0.02820512820512821, 0.041025641025641026, 0.02948717948717949, 0.06666666666666667, 0.00641025641025641]}","[{""valence"": 0.125, ""arousal"": 0.625, ""dominance"": 0.373}, {""valence"": 0.5, ""arousal"": 0.75, ""dominance"": 0.4675}, {""valence"": 0.7559999999999999, ""arousal"": 0.4845555555555555, ""dominance"": 0.5193333333333334}, {""valence"": 0.7835, ""arousal"": 0.424, ""dominance"": 0.5245}, {""valence"": 0.8413999999999999, ""arousal"": 0.6994, ""dominance"": 0.5837999999999999}, {""valence"": 0.3995, ""arousal"": 0.643, ""dominance"": 0.42050000000000004}, {""valence"": 0.8665714285714287, ""arousal"": 0.6885714285714286, ""dominance"": 0.6082857142857142}, {""valence"": 0.125, ""arousal"": 0.625, ""dominance"": 0.373}]"
9,2021-04-13 02:25:04+00:00,"{""valence"": 0.6469992063492064, ""arousal"": 0.4513595238095237, ""dominance"": 0.5302936507936509, ""emotion"": [0.02142857142857143, 0.05555555555555556, 0.05714285714285714, 0.08095238095238096, 0.011904761904761904, 0.0492063492063492, 0.029365079365079365, 0.03333333333333333]}","[{""valence"": 0.5715, ""arousal"": 0.552, ""dominance"": 0.5395}, {""valence"": 0.5392, ""arousal"": 0.6474000000000001, ""dominance"": 0.5035999999999999}, {""valence"": 0.7068, ""arousal"": 0.5831999999999999, ""dominance"": 0.5796}, {""valence"": 0.7691428571428572, ""arousal"": 0.47785714285714287, ""dominance"": 0.7162857142857142}, {""valence"": 0.771, ""arousal"": 0.64, ""dominance"": 0.71}, {""valence"": 0.23550000000000001, ""arousal"": 0.66425, ""dominance"": 0.325}, {""valence"": 0.8263333333333334, ""arousal"": 0.6046666666666667, ""dominance"": 0.6436666666666667}, {""valence"": 0.255, ""arousal"": 0.604, ""dominance"": 0.33233333333333337}]"
