Segment_ID,DateTime,Segment_VAD_Emotion,Emotion_VAD
0,2019-11-16 21:00:00+00:00,"{""valence"": 0.6176958683473389, ""arousal"": 0.444182212885154, ""dominance"": 0.5130885854341736, ""emotion"": [0.05742296918767507, 0.028011204481792715, 0.05847338935574229, 0.12850140056022408, 0.037815126050420166, 0.08403361344537814, 0.022058823529411766, 0.02661064425770308]}","[{""valence"": 0.15325, ""arousal"": 0.54875, ""dominance"": 0.41500000000000004}, {""valence"": 0.21166666666666667, ""arousal"": 0.492, ""dominance"": 0.365}, {""valence"": 0.5193333333333333, ""arousal"": 0.4678333333333333, ""dominance"": 0.5501666666666667}, {""valence"": 0.6767142857142857, ""arousal"": 0.4518571428571429, ""dominance"": 0.6174285714285714}, {""valence"": 0.4666666666666666, ""arousal"": 0.765, ""dominance"": 0.6226666666666666}, {""valence"": 0.19266666666666668, ""arousal"": 0.4688333333333334, ""dominance"": 0.34883333333333333}, {""valence"": 0.863, ""arousal"": 0.643, ""dominance"": 0.7665}, {""valence"": 0.08333333333333333, ""arousal"": 0.5630000000000001, ""dominance"": 0.296}]"
1,2019-11-22 13:24:20+00:00,"{""valence"": 0.5840577694235589, ""arousal"": 0.47025183792815367, ""dominance"": 0.5009789473684211, ""emotion"": [0.12681704260651627, 0.0944862155388471, 0.11311612364243943, 0.0944862155388471, 0.016290726817042606, 0.03032581453634085, 0.02556390977443609, 0.0]}","[{""valence"": 0.3762, ""arousal"": 0.6722, ""dominance"": 0.5342}, {""valence"": 0.3985, ""arousal"": 0.5536666666666666, ""dominance"": 0.4021666666666666}, {""valence"": 0.6021111111111112, ""arousal"": 0.43666666666666665, ""dominance"": 0.5154444444444445}, {""valence"": 0.6937142857142857, ""arousal"": 0.42142857142857143, ""dominance"": 0.5685714285714286}, {""valence"": 0.6094999999999999, ""arousal"": 0.4615, ""dominance"": 0.5609999999999999}, {""valence"": 0.255, ""arousal"": 0.46399999999999997, ""dominance"": 0.33299999999999996}, {""valence"": 0.8923333333333332, ""arousal"": 0.5243333333333333, ""dominance"": 0.6633333333333333}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
2,2019-12-01 03:26:19+00:00,"{""valence"": 0.6639696003401362, ""arousal"": 0.4274013180272109, ""dominance"": 0.5446085459183675, ""emotion"": [0.022108843537414966, 0.03159013605442177, 0.07950680272108844, 0.02891156462585034, 0.011904761904761904, 0.004464285714285714, 0.05654761904761905, 0.0]}","[{""valence"": 0.5870000000000001, ""arousal"": 0.7453333333333334, ""dominance"": 0.6926666666666667}, {""valence"": 0.5186000000000001, ""arousal"": 0.4612, ""dominance"": 0.481}, {""valence"": 0.6359999999999998, ""arousal"": 0.4600909090909091, ""dominance"": 0.5212727272727272}, {""valence"": 0.7466666666666666, ""arousal"": 0.49433333333333335, ""dominance"": 0.6876666666666665}, {""valence"": 0.844, ""arousal"": 0.608, ""dominance"": 0.827}, {""valence"": 0.648, ""arousal"": 0.645, ""dominance"": 0.544}, {""valence"": 0.8936666666666667, ""arousal"": 0.49733333333333335, ""dominance"": 0.6516666666666667}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
3,2019-12-07 05:57:45+00:00,"{""valence"": 0.6201386788048553, ""arousal"": 0.4539338235294118, ""dominance"": 0.5184806489262372, ""emotion"": [0.0588235294117647, 0.1295518207282913, 0.17938842203548086, 0.13036881419234359, 0.09313725490196079, 0.032913165266106444, 0.1219654528478058, 0.0]}","[{""valence"": 0.6533333333333333, ""arousal"": 0.617, ""dominance"": 0.7125}, {""valence"": 0.412, ""arousal"": 0.5604285714285714, ""dominance"": 0.484}, {""valence"": 0.698, ""arousal"": 0.4710769230769231, ""dominance"": 0.5943076923076922}, {""valence"": 0.8309, ""arousal"": 0.5288, ""dominance"": 0.6820999999999999}, {""valence"": 0.7398, ""arousal"": 0.5957999999999999, ""dominance"": 0.7245999999999999}, {""valence"": 0.19099999999999998, ""arousal"": 0.723, ""dominance"": 0.47333333333333333}, {""valence"": 0.854111111111111, ""arousal"": 0.5396666666666666, ""dominance"": 0.7112222222222222}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
4,2019-12-15 04:18:45+00:00,"{""valence"": 0.5572979166666667, ""arousal"": 0.4393364583333333, ""dominance"": 0.48551666666666676, ""emotion"": [0.025, 0.0, 0.09270833333333334, 0.04583333333333334, 0.0125, 0.03125, 0.03333333333333333, 0.0]}","[{""valence"": 0.271, ""arousal"": 0.791, ""dominance"": 0.526}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.48480000000000006, ""arousal"": 0.3462, ""dominance"": 0.45260000000000006}, {""valence"": 0.7636666666666666, ""arousal"": 0.4486666666666667, ""dominance"": 0.6426666666666666}, {""valence"": 0.75, ""arousal"": 0.64, ""dominance"": 0.537}, {""valence"": 0.188, ""arousal"": 0.598, ""dominance"": 0.375}, {""valence"": 0.7865, ""arousal"": 0.5700000000000001, ""dominance"": 0.6205}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
5,2019-12-19 00:17:48+00:00,"{""valence"": 0.7211110544217687, ""arousal"": 0.45684297052154205, ""dominance"": 0.5757006235827665, ""emotion"": [0.005952380952380952, 0.034580498866213144, 0.10997732426303854, 0.058390022675736966, 0.03968253968253968, 0.0, 0.07142857142857142, 0.0]}","[{""valence"": 0.235, ""arousal"": 0.931, ""dominance"": 0.679}, {""valence"": 0.531, ""arousal"": 0.346, ""dominance"": 0.423}, {""valence"": 0.7488181818181818, ""arousal"": 0.47754545454545455, ""dominance"": 0.6418181818181817}, {""valence"": 0.9076666666666666, ""arousal"": 0.5745, ""dominance"": 0.8133333333333334}, {""valence"": 0.88075, ""arousal"": 0.61325, ""dominance"": 0.66925}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.9466666666666667, ""arousal"": 0.5325000000000001, ""dominance"": 0.743}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
6,2019-12-29 02:29:13+00:00,"{""valence"": 0.6596286281179138, ""arousal"": 0.4617433673469387, ""dominance"": 0.5343981859410429, ""emotion"": [0.036564625850340135, 0.03061224489795918, 0.10204081632653061, 0.17307256235827664, 0.023809523809523808, 0.024659863945578227, 0.1377551020408163, 0.005952380952380952]}","[{""valence"": 0.14275000000000002, ""arousal"": 0.7655, ""dominance"": 0.4275}, {""valence"": 0.277, ""arousal"": 0.6463333333333333, ""dominance"": 0.43766666666666665}, {""valence"": 0.744125, ""arousal"": 0.546125, ""dominance"": 0.58925}, {""valence"": 0.697125, ""arousal"": 0.42262500000000003, ""dominance"": 0.6168750000000001}, {""valence"": 0.30966666666666665, ""arousal"": 0.553, ""dominance"": 0.38866666666666666}, {""valence"": 0.225, ""arousal"": 0.636, ""dominance"": 0.395}, {""valence"": 0.813625, ""arousal"": 0.548125, ""dominance"": 0.63625}, {""valence"": 0.0, ""arousal"": 0.678, ""dominance"": 0.294}]"
7,2020-01-12 04:26:20+00:00,"{""valence"": 0.6031711904761905, ""arousal"": 0.489620126984127, ""dominance"": 0.5290764285714287, ""emotion"": [0.06904761904761905, 0.09904761904761904, 0.07411111111111111, 0.05411111111111112, 0.038, 0.03404761904761905, 0.04633333333333333, 0.0]}","[{""valence"": 0.1936, ""arousal"": 0.7282, ""dominance"": 0.4076000000000001}, {""valence"": 0.29369999999999996, ""arousal"": 0.6117999999999999, ""dominance"": 0.3579}, {""valence"": 0.7181, ""arousal"": 0.4389, ""dominance"": 0.5624}, {""valence"": 0.7545, ""arousal"": 0.512625, ""dominance"": 0.644375}, {""valence"": 0.7576666666666666, ""arousal"": 0.4976666666666667, ""dominance"": 0.5716666666666667}, {""valence"": 0.17360000000000003, ""arousal"": 0.577, ""dominance"": 0.30779999999999996}, {""valence"": 0.891, ""arousal"": 0.567, ""dominance"": 0.6748000000000001}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
8,2020-01-26 13:26:31+00:00,"{""valence"": 0.6191443783068782, ""arousal"": 0.48909966931216936, ""dominance"": 0.5307289021164021, ""emotion"": [0.02976190476190476, 0.0763888888888889, 0.0863095238095238, 0.08075396825396824, 0.0746031746031746, 0.06944444444444445, 0.09047619047619047, 0.0]}","[{""valence"": 0.4306666666666666, ""arousal"": 0.7786666666666666, ""dominance"": 0.6436666666666666}, {""valence"": 0.233, ""arousal"": 0.6513333333333333, ""dominance"": 0.37966666666666665}, {""valence"": 0.6891666666666666, ""arousal"": 0.47966666666666674, ""dominance"": 0.6235}, {""valence"": 0.7475714285714286, ""arousal"": 0.557, ""dominance"": 0.7341428571428572}, {""valence"": 0.7747499999999999, ""arousal"": 0.62825, ""dominance"": 0.64875}, {""valence"": 0.084, ""arousal"": 0.804, ""dominance"": 0.358}, {""valence"": 0.9114999999999999, ""arousal"": 0.5773333333333333, ""dominance"": 0.7103333333333334}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
9,2020-02-06 03:39:15+00:00,"{""valence"": 0.6630866666666668, ""arousal"": 0.47813690476190474, ""dominance"": 0.5722982936507937, ""emotion"": [0.026031746031746027, 0.0788095238095238, 0.12666666666666665, 0.07853174603174602, 0.03333333333333333, 0.02583333333333333, 0.07666666666666667, 0.01888888888888889]}","[{""valence"": 0.0915, ""arousal"": 0.70175, ""dominance"": 0.362}, {""valence"": 0.275, ""arousal"": 0.6064285714285714, ""dominance"": 0.4162857142857143}, {""valence"": 0.7425555555555555, ""arousal"": 0.49244444444444446, ""dominance"": 0.6087777777777778}, {""valence"": 0.767, ""arousal"": 0.5295, ""dominance"": 0.69925}, {""valence"": 0.8915, ""arousal"": 0.5785, ""dominance"": 0.7735000000000001}, {""valence"": 0.058666666666666666, ""arousal"": 0.7693333333333333, ""dominance"": 0.399}, {""valence"": 0.9361666666666668, ""arousal"": 0.6295, ""dominance"": 0.7451666666666666}, {""valence"": 0.10133333333333333, ""arousal"": 0.7123333333333334, ""dominance"": 0.39433333333333326}]"
