Segment_ID,DateTime,Segment_VAD_Emotion,Emotion_VAD
0,2010-02-22 18:12:50+00:00,"{""valence"": 0.5989437500000001, ""arousal"": 0.4195741666666667, ""dominance"": 0.46115625, ""emotion"": [0.016666666666666666, 0.035416666666666666, 0.06208333333333334, 0.09166666666666666, 0.01875, 0.01875, 0.01875, 0.0475]}","[{""valence"": 0.71, ""arousal"": 0.216, ""dominance"": 0.473}, {""valence"": 0.465, ""arousal"": 0.53725, ""dominance"": 0.5687499999999999}, {""valence"": 0.7294999999999999, ""arousal"": 0.3275, ""dominance"": 0.5655}, {""valence"": 0.6475, ""arousal"": 0.41500000000000004, ""dominance"": 0.5712499999999999}, {""valence"": 0.505, ""arousal"": 0.45299999999999996, ""dominance"": 0.34650000000000003}, {""valence"": 0.5365, ""arousal"": 0.533, ""dominance"": 0.6615}, {""valence"": 0.7055, ""arousal"": 0.244, ""dominance"": 0.4375}, {""valence"": 0.28025, ""arousal"": 0.62825, ""dominance"": 0.34875}]"
1,2010-03-03 04:52:44+00:00,"{""valence"": 0.6403450549450549, ""arousal"": 0.43333782051282055, ""dominance"": 0.522709065934066, ""emotion"": [0.028205128205128202, 0.03782051282051282, 0.05879120879120879, 0.0336996336996337, 0.045604395604395595, 0.020512820512820513, 0.11868131868131869, 0.022435897435897433]}","[{""valence"": 0.28049999999999997, ""arousal"": 0.6505, ""dominance"": 0.524}, {""valence"": 0.28659999999999997, ""arousal"": 0.6242, ""dominance"": 0.4258}, {""valence"": 0.8264444444444444, ""arousal"": 0.5682222222222222, ""dominance"": 0.6132222222222222}, {""valence"": 0.8446, ""arousal"": 0.5246, ""dominance"": 0.6302}, {""valence"": 0.7641428571428571, ""arousal"": 0.4274285714285714, ""dominance"": 0.5162857142857142}, {""valence"": 0.09266666666666667, ""arousal"": 0.6646666666666666, ""dominance"": 0.423}, {""valence"": 0.8374166666666666, ""arousal"": 0.49925, ""dominance"": 0.5850833333333333}, {""valence"": 0.14766666666666667, ""arousal"": 0.48666666666666664, ""dominance"": 0.2693333333333333}]"
2,2010-03-22 03:21:56+00:00,"{""valence"": 0.5999498866213151, ""arousal"": 0.43915, ""dominance"": 0.4597555555555556, ""emotion"": [0.04013605442176871, 0.023809523809523808, 0.10646258503401361, 0.07823129251700679, 0.04965986394557823, 0.0, 0.10045351473922903, 0.03061224489795918]}","[{""valence"": 0.28025, ""arousal"": 0.80325, ""dominance"": 0.5257499999999999}, {""valence"": 0.3235, ""arousal"": 0.72, ""dominance"": 0.5369999999999999}, {""valence"": 0.8481428571428572, ""arousal"": 0.49442857142857133, ""dominance"": 0.5504285714285714}, {""valence"": 0.7922499999999999, ""arousal"": 0.368125, ""dominance"": 0.5775}, {""valence"": 0.5504, ""arousal"": 0.6202, ""dominance"": 0.5172000000000001}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.9104285714285714, ""arousal"": 0.5114285714285713, ""dominance"": 0.6054285714285715}, {""valence"": 0.36966666666666664, ""arousal"": 0.5436666666666666, ""dominance"": 0.48700000000000004}]"
3,2010-04-05 16:51:09+00:00,"{""valence"": 0.6165462585034013, ""arousal"": 0.45911609977324264, ""dominance"": 0.4925814625850339, ""emotion"": [0.05952380952380952, 0.057539682539682536, 0.06349206349206349, 0.05952380952380952, 0.03968253968253968, 0.07341269841269842, 0.03571428571428571, 0.04365079365079365]}","[{""valence"": 0.10325000000000001, ""arousal"": 0.5950000000000001, ""dominance"": 0.261}, {""valence"": 0.1524, ""arousal"": 0.5722, ""dominance"": 0.3248}, {""valence"": 0.7743333333333333, ""arousal"": 0.4663333333333333, ""dominance"": 0.5684999999999999}, {""valence"": 0.8665999999999998, ""arousal"": 0.48360000000000003, ""dominance"": 0.6176}, {""valence"": 0.41566666666666663, ""arousal"": 0.5796666666666667, ""dominance"": 0.3173333333333333}, {""valence"": 0.20133333333333334, ""arousal"": 0.5621666666666667, ""dominance"": 0.38633333333333325}, {""valence"": 0.9063333333333333, ""arousal"": 0.5956666666666667, ""dominance"": 0.6573333333333334}, {""valence"": 0.07300000000000001, ""arousal"": 0.5833333333333334, ""dominance"": 0.26866666666666666}]"
4,2010-04-14 03:26:16+00:00,"{""valence"": 0.5894004105090311, ""arousal"": 0.4433518883415435, ""dominance"": 0.49861455938697313, ""emotion"": [0.05172413793103448, 0.005747126436781609, 0.04779693486590038, 0.03869731800766284, 0.026122058018609742, 0.004310344827586207, 0.036111111111111115, 0.055145046524356874]}","[{""valence"": 0.144, ""arousal"": 0.7293333333333334, ""dominance"": 0.46166666666666667}, {""valence"": 0.022, ""arousal"": 0.892, ""dominance"": 0.727}, {""valence"": 0.7757142857142857, ""arousal"": 0.4238571428571428, ""dominance"": 0.5911428571428571}, {""valence"": 0.7963333333333332, ""arousal"": 0.37033333333333335, ""dominance"": 0.6121666666666666}, {""valence"": 0.7798, ""arousal"": 0.44980000000000003, ""dominance"": 0.5506}, {""valence"": 0.26, ""arousal"": 0.481, ""dominance"": 0.534}, {""valence"": 0.8303333333333334, ""arousal"": 0.4091666666666667, ""dominance"": 0.578}, {""valence"": 0.33039999999999997, ""arousal"": 0.5548, ""dominance"": 0.4058}]"
5,2010-04-29 19:05:35+00:00,"{""valence"": 0.6494261574074074, ""arousal"": 0.4664524305555555, ""dominance"": 0.5327226851851853, ""emotion"": [0.07777777777777778, 0.06527777777777778, 0.06273148148148149, 0.07060185185185185, 0.05092592592592593, 0.08472222222222224, 0.032407407407407406, 0.01990740740740741]}","[{""valence"": 0.1185, ""arousal"": 0.83475, ""dominance"": 0.6075}, {""valence"": 0.19250000000000003, ""arousal"": 0.6885, ""dominance"": 0.5435000000000001}, {""valence"": 0.7677142857142857, ""arousal"": 0.4947142857142857, ""dominance"": 0.5555714285714286}, {""valence"": 0.7796666666666666, ""arousal"": 0.41283333333333333, ""dominance"": 0.5990000000000001}, {""valence"": 0.5816666666666667, ""arousal"": 0.5306666666666667, ""dominance"": 0.5606666666666668}, {""valence"": 0.3066, ""arousal"": 0.6380000000000001, ""dominance"": 0.5172000000000001}, {""valence"": 0.91225, ""arousal"": 0.49175, ""dominance"": 0.595}, {""valence"": 0.25666666666666665, ""arousal"": 0.653, ""dominance"": 0.4483333333333333}]"
6,2010-05-06 23:33:10+00:00,"{""valence"": 0.6406146645021645, ""arousal"": 0.49249199134199134, ""dominance"": 0.531519751082251, ""emotion"": [0.04437229437229437, 0.03333333333333333, 0.07808441558441558, 0.1268939393939394, 0.0367965367965368, 0.031818181818181815, 0.07007575757575757, 0.03409090909090909]}","[{""valence"": 0.44925, ""arousal"": 0.67925, ""dominance"": 0.5447500000000001}, {""valence"": 0.3166666666666667, ""arousal"": 0.5633333333333334, ""dominance"": 0.32633333333333336}, {""valence"": 0.775625, ""arousal"": 0.5027499999999999, ""dominance"": 0.608625}, {""valence"": 0.6654545454545455, ""arousal"": 0.5025454545454545, ""dominance"": 0.6564545454545455}, {""valence"": 0.73175, ""arousal"": 0.4675, ""dominance"": 0.5862499999999999}, {""valence"": 0.0805, ""arousal"": 0.745, ""dominance"": 0.2655}, {""valence"": 0.8360000000000001, ""arousal"": 0.5602857142857143, ""dominance"": 0.6555714285714286}, {""valence"": 0.27349999999999997, ""arousal"": 0.7045, ""dominance"": 0.35250000000000004}]"
7,2010-05-14 16:32:28+00:00,"{""valence"": 0.6346111111111111, ""arousal"": 0.46008717948717953, ""dominance"": 0.4983525641025643, ""emotion"": [0.03311965811965812, 0.07051282051282051, 0.13269230769230772, 0.07756410256410257, 0.10448717948717949, 0.0038461538461538464, 0.09358974358974358, 0.026282051282051282]}","[{""valence"": 0.3575, ""arousal"": 0.6667500000000001, ""dominance"": 0.49224999999999997}, {""valence"": 0.333, ""arousal"": 0.6654, ""dominance"": 0.4944}, {""valence"": 0.7793636363636364, ""arousal"": 0.43545454545454554, ""dominance"": 0.5198181818181818}, {""valence"": 0.8542222222222222, ""arousal"": 0.42911111111111105, ""dominance"": 0.5311111111111111}, {""valence"": 0.7741428571428571, ""arousal"": 0.44828571428571423, ""dominance"": 0.5007142857142857}, {""valence"": 0.198, ""arousal"": 0.353, ""dominance"": 0.237}, {""valence"": 0.8854444444444444, ""arousal"": 0.46388888888888885, ""dominance"": 0.5488888888888889}, {""valence"": 0.37233333333333335, ""arousal"": 0.38599999999999995, ""dominance"": 0.3083333333333333}]"
8,2010-06-01 00:18:04+00:00,"{""valence"": 0.5849967592592592, ""arousal"": 0.47381527777777777, ""dominance"": 0.5042416666666667, ""emotion"": [0.023611111111111114, 0.037500000000000006, 0.16666666666666669, 0.0851851851851852, 0.05092592592592592, 0.03425925925925926, 0.10185185185185186, 0.013888888888888888]}","[{""valence"": 0.3686666666666667, ""arousal"": 0.6373333333333333, ""dominance"": 0.5603333333333333}, {""valence"": 0.18819999999999998, ""arousal"": 0.652, ""dominance"": 0.33199999999999996}, {""valence"": 0.8041538461538461, ""arousal"": 0.5072307692307693, ""dominance"": 0.6625384615384615}, {""valence"": 0.830125, ""arousal"": 0.46887500000000004, ""dominance"": 0.6733750000000001}, {""valence"": 0.8815000000000001, ""arousal"": 0.40149999999999997, ""dominance"": 0.707}, {""valence"": 0.25375, ""arousal"": 0.6695, ""dominance"": 0.33999999999999997}, {""valence"": 0.8525, ""arousal"": 0.5451, ""dominance"": 0.6577999999999999}, {""valence"": 0.2, ""arousal"": 0.5945, ""dominance"": 0.21600000000000003}]"
9,2010-06-10 14:27:25+00:00,"{""valence"": 0.6248982448107449, ""arousal"": 0.4442632908757908, ""dominance"": 0.5230765151515151, ""emotion"": [0.07708957708957709, 0.030823343323343324, 0.046425796425796424, 0.05102536352536353, 0.04723748473748473, 0.027326839826839824, 0.048319735819735816, 0.025141525141525144]}","[{""valence"": 0.36879999999999996, ""arousal"": 0.5748, ""dominance"": 0.46080000000000004}, {""valence"": 0.326, ""arousal"": 0.6062500000000001, ""dominance"": 0.52525}, {""valence"": 0.7041666666666667, ""arousal"": 0.4725, ""dominance"": 0.5268333333333334}, {""valence"": 0.7322500000000001, ""arousal"": 0.5543750000000001, ""dominance"": 0.6583749999999999}, {""valence"": 0.5356666666666666, ""arousal"": 0.6336666666666667, ""dominance"": 0.5686666666666667}, {""valence"": 0.2886666666666667, ""arousal"": 0.6030000000000001, ""dominance"": 0.5666666666666667}, {""valence"": 0.7720000000000001, ""arousal"": 0.5, ""dominance"": 0.5756666666666667}, {""valence"": 0.49033333333333334, ""arousal"": 0.4746666666666666, ""dominance"": 0.3946666666666667}]"
