Segment_ID,DateTime,Segment_VAD_Emotion,Emotion_VAD
0,2016-04-11 20:54:46+00:00,"{""valence"": 0.5871378156565658, ""arousal"": 0.4713514835858586, ""dominance"": 0.5101011994949495, ""emotion"": [0.10969065656565657, 0.05760732323232323, 0.06770833333333333, 0.04337121212121212, 0.015625, 0.1221590909090909, 0.053787878787878794, 0.07670454545454546]}","[{""valence"": 0.17783333333333332, ""arousal"": 0.7615, ""dominance"": 0.49266666666666664}, {""valence"": 0.1875, ""arousal"": 0.77525, ""dominance"": 0.5575}, {""valence"": 0.7615999999999999, ""arousal"": 0.6258, ""dominance"": 0.5584}, {""valence"": 0.862142857142857, ""arousal"": 0.5211428571428571, ""dominance"": 0.6438571428571428}, {""valence"": 0.6565, ""arousal"": 0.3415, ""dominance"": 0.4145}, {""valence"": 0.3348333333333333, ""arousal"": 0.5681666666666666, ""dominance"": 0.3875}, {""valence"": 0.8795, ""arousal"": 0.5045, ""dominance"": 0.5940000000000001}, {""valence"": 0.10940000000000001, ""arousal"": 0.6113999999999999, ""dominance"": 0.33399999999999996}]"
1,2016-04-19 00:56:12+00:00,"{""valence"": 0.6397913131313132, ""arousal"": 0.4683210269360269, ""dominance"": 0.5332524074074074, ""emotion"": [0.019393939393939394, 0.056936026936026944, 0.21717171717171718, 0.20984848484848484, 0.10740740740740741, 0.09481481481481482, 0.18106060606060606, 0.013333333333333334]}","[{""valence"": 0.3365, ""arousal"": 0.7685, ""dominance"": 0.621}, {""valence"": 0.4121666666666666, ""arousal"": 0.7006666666666668, ""dominance"": 0.6135}, {""valence"": 0.8344999999999999, ""arousal"": 0.42275, ""dominance"": 0.6483749999999999}, {""valence"": 0.762, ""arousal"": 0.5018, ""dominance"": 0.6940999999999999}, {""valence"": 0.48125, ""arousal"": 0.7440000000000001, ""dominance"": 0.554}, {""valence"": 0.3255, ""arousal"": 0.7035, ""dominance"": 0.39049999999999996}, {""valence"": 0.8824285714285715, ""arousal"": 0.4742857142857143, ""dominance"": 0.654}, {""valence"": 0.061, ""arousal"": 0.787, ""dominance"": 0.337}]"
2,2016-04-24 01:15:15+00:00,"{""valence"": 0.6435676470588235, ""arousal"": 0.4555220588235294, ""dominance"": 0.525428431372549, ""emotion"": [0.026470588235294117, 0.04607843137254902, 0.08284313725490196, 0.08725490196078432, 0.0, 0.033823529411764704, 0.09019607843137255, 0.026470588235294117]}","[{""valence"": 0.08349999999999999, ""arousal"": 0.625, ""dominance"": 0.306}, {""valence"": 0.3083333333333333, ""arousal"": 0.5893333333333333, ""dominance"": 0.49933333333333335}, {""valence"": 0.5712, ""arousal"": 0.40199999999999997, ""dominance"": 0.5968}, {""valence"": 0.8232857142857144, ""arousal"": 0.4740000000000001, ""dominance"": 0.7398571428571429}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.122, ""arousal"": 0.6376666666666666, ""dominance"": 0.25333333333333335}, {""valence"": 0.8188333333333334, ""arousal"": 0.5343333333333332, ""dominance"": 0.6723333333333333}, {""valence"": 0.08349999999999999, ""arousal"": 0.625, ""dominance"": 0.306}]"
3,2016-05-02 16:22:27+00:00,"{""valence"": 0.6823290849673203, ""arousal"": 0.45307303921568626, ""dominance"": 0.5563931372549019, ""emotion"": [0.024509803921568624, 0.014705882352941176, 0.0261437908496732, 0.1053921568627451, 0.014705882352941176, 0.0, 0.07189542483660132, 0.0]}","[{""valence"": 0.1065, ""arousal"": 0.8235, ""dominance"": 0.478}, {""valence"": 0.12, ""arousal"": 0.849, ""dominance"": 0.431}, {""valence"": 0.604, ""arousal"": 0.288, ""dominance"": 0.609}, {""valence"": 0.758, ""arousal"": 0.44049999999999995, ""dominance"": 0.632}, {""valence"": 0.64, ""arousal"": 0.716, ""dominance"": 0.898}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.7986, ""arousal"": 0.41240000000000004, ""dominance"": 0.5134000000000001}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
4,2016-05-15 14:05:31+00:00,"{""valence"": 0.5638544444444444, ""arousal"": 0.4911055555555556, ""dominance"": 0.5116138888888888, ""emotion"": [0.04444444444444444, 0.07777777777777777, 0.11555555555555555, 0.08277777777777778, 0.065, 0.05555555555555555, 0.08499999999999999, 0.01111111111111111]}","[{""valence"": 0.443, ""arousal"": 0.644, ""dominance"": 0.6134999999999999}, {""valence"": 0.422, ""arousal"": 0.6973333333333334, ""dominance"": 0.6206666666666666}, {""valence"": 0.7567, ""arousal"": 0.4689, ""dominance"": 0.6187}, {""valence"": 0.8245714285714285, ""arousal"": 0.5251428571428571, ""dominance"": 0.5905714285714285}, {""valence"": 0.9034000000000001, ""arousal"": 0.5549999999999999, ""dominance"": 0.5926}, {""valence"": 0.37700000000000006, ""arousal"": 0.5486666666666666, ""dominance"": 0.514}, {""valence"": 0.9181428571428569, ""arousal"": 0.5104285714285715, ""dominance"": 0.6188571428571429}, {""valence"": 0.806, ""arousal"": 0.329, ""dominance"": 0.531}]"
5,2016-05-26 20:59:44+00:00,"{""valence"": 0.6524693333333333, ""arousal"": 0.48428066666666664, ""dominance"": 0.5362353333333334, ""emotion"": [0.042222222222222223, 0.06055555555555556, 0.0391111111111111, 0.07333333333333333, 0.017777777777777778, 0.08055555555555555, 0.050777777777777776, 0.015555555555555553]}","[{""valence"": 0.1638, ""arousal"": 0.725, ""dominance"": 0.35939999999999994}, {""valence"": 0.16542857142857142, ""arousal"": 0.7569999999999999, ""dominance"": 0.36342857142857143}, {""valence"": 0.7373999999999999, ""arousal"": 0.6462, ""dominance"": 0.6422}, {""valence"": 0.8067500000000001, ""arousal"": 0.53325, ""dominance"": 0.8394999999999999}, {""valence"": 0.7326666666666667, ""arousal"": 0.7493333333333334, ""dominance"": 0.6063333333333333}, {""valence"": 0.24900000000000003, ""arousal"": 0.665, ""dominance"": 0.389625}, {""valence"": 0.94, ""arousal"": 0.5925, ""dominance"": 0.7145}, {""valence"": 0.10900000000000003, ""arousal"": 0.82, ""dominance"": 0.44599999999999995}]"
6,2016-06-06 18:20:59+00:00,"{""valence"": 0.5783187229437229, ""arousal"": 0.47748322510822505, ""dominance"": 0.5080268398268399, ""emotion"": [0.04090909090909091, 0.061038961038961045, 0.05119047619047619, 0.05725108225108225, 0.01515151515151515, 0.029220779220779217, 0.0393939393939394, 0.031818181818181815]}","[{""valence"": 0.4603333333333333, ""arousal"": 0.6970000000000001, ""dominance"": 0.46966666666666673}, {""valence"": 0.447, ""arousal"": 0.7110000000000001, ""dominance"": 0.50875}, {""valence"": 0.6804, ""arousal"": 0.386, ""dominance"": 0.6326}, {""valence"": 0.8398, ""arousal"": 0.382, ""dominance"": 0.6072}, {""valence"": 0.938, ""arousal"": 0.368, ""dominance"": 0.534}, {""valence"": 0.2555, ""arousal"": 0.7855, ""dominance"": 0.3135}, {""valence"": 0.9206666666666666, ""arousal"": 0.3403333333333333, ""dominance"": 0.5750000000000001}, {""valence"": 0.3645, ""arousal"": 0.6965, ""dominance"": 0.3035}]"
7,2016-06-14 12:38:08+00:00,"{""valence"": 0.6181707034632035, ""arousal"": 0.45999632034632026, ""dominance"": 0.5207590151515151, ""emotion"": [0.017045454545454548, 0.049545454545454545, 0.09752164502164502, 0.12918831168831169, 0.01, 0.05454545454545454, 0.09168831168831168, 0.016666666666666666]}","[{""valence"": 0.22099999999999997, ""arousal"": 0.7969999999999999, ""dominance"": 0.489}, {""valence"": 0.377, ""arousal"": 0.7190000000000001, ""dominance"": 0.6006}, {""valence"": 0.8108888888888889, ""arousal"": 0.6352222222222221, ""dominance"": 0.674}, {""valence"": 0.83825, ""arousal"": 0.58375, ""dominance"": 0.66}, {""valence"": 0.938, ""arousal"": 0.368, ""dominance"": 0.534}, {""valence"": 0.398, ""arousal"": 0.484, ""dominance"": 0.3795}, {""valence"": 0.8605, ""arousal"": 0.5766249999999999, ""dominance"": 0.652625}, {""valence"": 0.086, ""arousal"": 0.567, ""dominance"": 0.113}]"
8,2016-06-22 06:15:07+00:00,"{""valence"": 0.6519319185645271, ""arousal"": 0.4380845065562457, ""dominance"": 0.5189427536231883, ""emotion"": [0.004830917874396135, 0.021739130434782608, 0.12481021394064873, 0.14768806073153898, 0.09799861973775018, 0.01956521739130435, 0.1595928226363009, 0.004830917874396135]}","[{""valence"": 0.67, ""arousal"": 0.118, ""dominance"": 0.442}, {""valence"": 0.388, ""arousal"": 0.579, ""dominance"": 0.297}, {""valence"": 0.81375, ""arousal"": 0.55975, ""dominance"": 0.60225}, {""valence"": 0.8260000000000001, ""arousal"": 0.5316666666666667, ""dominance"": 0.7103333333333333}, {""valence"": 0.8766, ""arousal"": 0.508, ""dominance"": 0.6609999999999999}, {""valence"": 0.4235, ""arousal"": 0.654, ""dominance"": 0.34600000000000003}, {""valence"": 0.9165555555555556, ""arousal"": 0.5592222222222224, ""dominance"": 0.6615555555555556}, {""valence"": 0.67, ""arousal"": 0.118, ""dominance"": 0.442}]"
9,2016-06-30 18:46:03+00:00,"{""valence"": 0.6886708238851095, ""arousal"": 0.4684972411186698, ""dominance"": 0.5437536659108088, ""emotion"": [0.003401360544217687, 0.0563114134542706, 0.1674225245653817, 0.20370370370370375, 0.0391156462585034, 0.008692365835222978, 0.14021164021164023, 0.003401360544217687]}","[{""valence"": 0.615, ""arousal"": 0.408, ""dominance"": 0.391}, {""valence"": 0.5393333333333333, ""arousal"": 0.5673333333333334, ""dominance"": 0.5146666666666667}, {""valence"": 0.71875, ""arousal"": 0.58525, ""dominance"": 0.64275}, {""valence"": 0.7675714285714286, ""arousal"": 0.549, ""dominance"": 0.6931428571428572}, {""valence"": 0.763, ""arousal"": 0.4626666666666666, ""dominance"": 0.5863333333333333}, {""valence"": 0.43, ""arousal"": 0.592, ""dominance"": 0.329}, {""valence"": 0.8584285714285714, ""arousal"": 0.5575714285714285, ""dominance"": 0.7104285714285714}, {""valence"": 0.26, ""arousal"": 0.66, ""dominance"": 0.402}]"
