Segment_ID,DateTime,Segment_VAD_Emotion,Emotion_VAD
0,2014-06-01 14:24:22+00:00,"{""valence"": 0.6259751388888889, ""arousal"": 0.4785590277777777, ""dominance"": 0.5367756944444446, ""emotion"": [0.005555555555555555, 0.06180555555555556, 0.1798611111111111, 0.16666666666666669, 0.0, 0.05625, 0.175, 0.005555555555555555]}","[{""valence"": 0.219, ""arousal"": 0.755, ""dominance"": 0.411}, {""valence"": 0.40399999999999997, ""arousal"": 0.5176666666666667, ""dominance"": 0.49366666666666664}, {""valence"": 0.77525, ""arousal"": 0.5235, ""dominance"": 0.6307500000000001}, {""valence"": 0.8261666666666666, ""arousal"": 0.556, ""dominance"": 0.6851666666666666}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.597, ""arousal"": 0.35150000000000003, ""dominance"": 0.34650000000000003}, {""valence"": 0.8729999999999999, ""arousal"": 0.5575, ""dominance"": 0.6778333333333334}, {""valence"": 0.219, ""arousal"": 0.755, ""dominance"": 0.411}]"
1,2014-06-14 06:51:08+00:00,"{""valence"": 0.6624480060343697, ""arousal"": 0.4902894628099173, ""dominance"": 0.5384662960776597, ""emotion"": [0.018181818181818184, 0.009090909090909092, 0.050524727797455066, 0.13712121212121212, 0.041597796143250695, 0.024242424242424242, 0.1032139577594123, 0.009090909090909092]}","[{""valence"": 0.17550000000000002, ""arousal"": 0.885, ""dominance"": 0.6335}, {""valence"": 0.08, ""arousal"": 0.959, ""dominance"": 0.696}, {""valence"": 0.8585000000000002, ""arousal"": 0.5471666666666667, ""dominance"": 0.6835}, {""valence"": 0.8246363636363636, ""arousal"": 0.48145454545454547, ""dominance"": 0.6865454545454545}, {""valence"": 0.647, ""arousal"": 0.5878333333333333, ""dominance"": 0.5191666666666667}, {""valence"": 0.5055000000000001, ""arousal"": 0.6835, ""dominance"": 0.7104999999999999}, {""valence"": 0.8689090909090909, ""arousal"": 0.48863636363636365, ""dominance"": 0.6256363636363637}, {""valence"": 0.042, ""arousal"": 0.481, ""dominance"": 0.18}]"
2,2014-06-26 00:29:23+00:00,"{""valence"": 0.6420680952380952, ""arousal"": 0.4877823809523808, ""dominance"": 0.5318273809523809, ""emotion"": [0.04476190476190476, 0.05, 0.11841269841269843, 0.04698412698412698, 0.07, 0.054444444444444434, 0.06111111111111111, 0.016666666666666666]}","[{""valence"": 0.30019999999999997, ""arousal"": 0.6526, ""dominance"": 0.4696000000000001}, {""valence"": 0.4034285714285714, ""arousal"": 0.6565714285714286, ""dominance"": 0.45914285714285713}, {""valence"": 0.7787692307692308, ""arousal"": 0.45915384615384625, ""dominance"": 0.6014615384615385}, {""valence"": 0.8551249999999999, ""arousal"": 0.4689999999999999, ""dominance"": 0.611625}, {""valence"": 0.7599999999999999, ""arousal"": 0.6531111111111112, ""dominance"": 0.5847777777777776}, {""valence"": 0.153, ""arousal"": 0.6489999999999999, ""dominance"": 0.3443333333333334}, {""valence"": 0.8739000000000001, ""arousal"": 0.5788, ""dominance"": 0.6209}, {""valence"": 0.0365, ""arousal"": 0.544, ""dominance"": 0.247}]"
3,2014-07-05 07:06:27+00:00,"{""valence"": 0.632121130952381, ""arousal"": 0.48866502976190473, ""dominance"": 0.5745651785714285, ""emotion"": [0.03125, 0.03184523809523809, 0.075, 0.1605654761904762, 0.020833333333333332, 0.03333333333333333, 0.058035714285714274, 0.040178571428571425]}","[{""valence"": 0.0, ""arousal"": 0.678, ""dominance"": 0.294}, {""valence"": 0.6806666666666666, ""arousal"": 0.3626666666666667, ""dominance"": 0.5676666666666667}, {""valence"": 0.7205, ""arousal"": 0.40675, ""dominance"": 0.6092500000000001}, {""valence"": 0.7197142857142858, ""arousal"": 0.45071428571428573, ""dominance"": 0.644}, {""valence"": 0.82, ""arousal"": 0.49, ""dominance"": 0.651}, {""valence"": 0.2875, ""arousal"": 0.3405, ""dominance"": 0.243}, {""valence"": 0.8462, ""arousal"": 0.4084, ""dominance"": 0.671}, {""valence"": 0.1405, ""arousal"": 0.6755, ""dominance"": 0.281}]"
4,2014-07-10 15:22:42+00:00,"{""valence"": 0.6774199134199135, ""arousal"": 0.4613044372294372, ""dominance"": 0.5067351731601732, ""emotion"": [0.035606060606060606, 0.035606060606060606, 0.09924242424242426, 0.024242424242424242, 0.056818181818181816, 0.053030303030303025, 0.05876623376623377, 0.03409090909090909]}","[{""valence"": 0.3133333333333333, ""arousal"": 0.5466666666666667, ""dominance"": 0.4026666666666667}, {""valence"": 0.49033333333333334, ""arousal"": 0.43599999999999994, ""dominance"": 0.44566666666666666}, {""valence"": 0.75625, ""arousal"": 0.6216250000000001, ""dominance"": 0.6765}, {""valence"": 0.845, ""arousal"": 0.49550000000000005, ""dominance"": 0.713}, {""valence"": 0.7616666666666667, ""arousal"": 0.639, ""dominance"": 0.6566666666666667}, {""valence"": 0.36533333333333334, ""arousal"": 0.4566666666666666, ""dominance"": 0.3463333333333333}, {""valence"": 0.9118, ""arousal"": 0.7032, ""dominance"": 0.7718}, {""valence"": 0.15433333333333335, ""arousal"": 0.48966666666666664, ""dominance"": 0.29233333333333333}]"
5,2014-07-14 08:13:16+00:00,"{""valence"": 0.6628834509112288, ""arousal"": 0.4737131687242799, ""dominance"": 0.5592084509112286, ""emotion"": [0.03306878306878307, 0.0, 0.08368606701940035, 0.1111111111111111, 0.04135802469135803, 0.04576719576719577, 0.07222222222222222, 0.012345679012345678]}","[{""valence"": 0.33080000000000004, ""arousal"": 0.49720000000000003, ""dominance"": 0.487}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.8018750000000001, ""arousal"": 0.628625, ""dominance"": 0.7341249999999999}, {""valence"": 0.8434285714285714, ""arousal"": 0.655, ""dominance"": 0.7844285714285714}, {""valence"": 0.86925, ""arousal"": 0.62975, ""dominance"": 0.81125}, {""valence"": 0.3681666666666667, ""arousal"": 0.3775, ""dominance"": 0.3333333333333333}, {""valence"": 0.8885000000000001, ""arousal"": 0.6865, ""dominance"": 0.7908333333333334}, {""valence"": 0.08750000000000001, ""arousal"": 0.594, ""dominance"": 0.30100000000000005}]"
6,2014-07-20 20:02:03+00:00,"{""valence"": 0.6427592592592594, ""arousal"": 0.49856790123456785, ""dominance"": 0.5391265432098765, ""emotion"": [0.06172839506172839, 0.08641975308641975, 0.10493827160493828, 0.09567901234567902, 0.06172839506172839, 0.08641975308641975, 0.11728395061728394, 0.04938271604938271]}","[{""valence"": 0.25525, ""arousal"": 0.5575, ""dominance"": 0.41425}, {""valence"": 0.13925, ""arousal"": 0.6065, ""dominance"": 0.36624999999999996}, {""valence"": 0.8235714285714286, ""arousal"": 0.48114285714285715, ""dominance"": 0.6654285714285714}, {""valence"": 0.7944444444444446, ""arousal"": 0.5403333333333333, ""dominance"": 0.687888888888889}, {""valence"": 0.7933333333333333, ""arousal"": 0.418, ""dominance"": 0.6880000000000001}, {""valence"": 0.24725000000000003, ""arousal"": 0.49549999999999994, ""dominance"": 0.35825}, {""valence"": 0.8440000000000001, ""arousal"": 0.5459999999999999, ""dominance"": 0.6677777777777778}, {""valence"": 0.059, ""arousal"": 0.5406666666666666, ""dominance"": 0.27666666666666667}]"
7,2014-07-28 01:30:46+00:00,"{""valence"": 0.6306599999999999, ""arousal"": 0.4642685714285714, ""dominance"": 0.5203704166666667, ""emotion"": [0.019642857142857142, 0.022916666666666665, 0.05583333333333333, 0.12172619047619046, 0.00625, 0.01, 0.07083333333333333, 0.028869047619047617]}","[{""valence"": 0.07266666666666667, ""arousal"": 0.5846666666666667, ""dominance"": 0.29333333333333333}, {""valence"": 0.36550000000000005, ""arousal"": 0.5800000000000001, ""dominance"": 0.43}, {""valence"": 0.8142857142857143, ""arousal"": 0.5297142857142857, ""dominance"": 0.5860000000000001}, {""valence"": 0.8103750000000001, ""arousal"": 0.57575, ""dominance"": 0.716375}, {""valence"": 0.908, ""arousal"": 0.931, ""dominance"": 0.709}, {""valence"": 0.073, ""arousal"": 0.38, ""dominance"": 0.393}, {""valence"": 0.8504285714285714, ""arousal"": 0.5352857142857143, ""dominance"": 0.6}, {""valence"": 0.17425000000000002, ""arousal"": 0.6042500000000001, ""dominance"": 0.32125000000000004}]"
8,2014-08-01 00:26:23+00:00,"{""valence"": 0.6000925925925925, ""arousal"": 0.508562962962963, ""dominance"": 0.52185987654321, ""emotion"": [0.033950617283950615, 0.025925925925925925, 0.03148148148148148, 0.07160493827160495, 0.006172839506172839, 0.04876543209876543, 0.040123456790123455, 0.06481481481481481]}","[{""valence"": 0.08266666666666667, ""arousal"": 0.8123333333333335, ""dominance"": 0.4343333333333333}, {""valence"": 0.21574999999999997, ""arousal"": 0.7422499999999999, ""dominance"": 0.56575}, {""valence"": 0.6533999999999999, ""arousal"": 0.5082, ""dominance"": 0.5130000000000001}, {""valence"": 0.7441666666666666, ""arousal"": 0.4041666666666666, ""dominance"": 0.6601666666666667}, {""valence"": 0.64, ""arousal"": 0.463, ""dominance"": 0.442}, {""valence"": 0.0694, ""arousal"": 0.7266, ""dominance"": 0.45099999999999996}, {""valence"": 0.8261666666666666, ""arousal"": 0.48583333333333334, ""dominance"": 0.6151666666666666}, {""valence"": 0.187, ""arousal"": 0.7887500000000001, ""dominance"": 0.42174999999999996}]"
9,2014-08-03 12:30:20+00:00,"{""valence"": 0.6108254901960785, ""arousal"": 0.48196876750700274, ""dominance"": 0.5064638655462185, ""emotion"": [0.05791316526610644, 0.046148459383753504, 0.05525210084033613, 0.045168067226890755, 0.028711484593837534, 0.044677871148459385, 0.05987394957983193, 0.034873949579831934]}","[{""valence"": 0.14811111111111108, ""arousal"": 0.6775555555555555, ""dominance"": 0.4151111111111112}, {""valence"": 0.14542857142857143, ""arousal"": 0.7232857142857144, ""dominance"": 0.4248571428571429}, {""valence"": 0.685125, ""arousal"": 0.429875, ""dominance"": 0.641375}, {""valence"": 0.8004999999999999, ""arousal"": 0.5611666666666666, ""dominance"": 0.6705}, {""valence"": 0.5556666666666666, ""arousal"": 0.663, ""dominance"": 0.6383333333333333}, {""valence"": 0.13071428571428573, ""arousal"": 0.6420000000000001, ""dominance"": 0.36200000000000004}, {""valence"": 0.8895, ""arousal"": 0.6008749999999999, ""dominance"": 0.688125}, {""valence"": 0.147, ""arousal"": 0.6385000000000001, ""dominance"": 0.36966666666666664}]"
