Segment_ID,DateTime,Segment_VAD_Emotion,Emotion_VAD
0,2022-02-09 03:28:23+00:00,"{""valence"": 0.5324605225184172, ""arousal"": 0.5215485892762208, ""dominance"": 0.5396931476418318, ""emotion"": [0.05261828814460394, 0.0692412850307587, 0.013366750208855471, 0.04049707602339181, 0.032664995822890563, 0.046411483253588515, 0.032163742690058485, 0.01541733120680489]}","[{""valence"": 0.133625, ""arousal"": 0.815, ""dominance"": 0.5148750000000001}, {""valence"": 0.23614285714285715, ""arousal"": 0.7281428571428572, ""dominance"": 0.4927142857142857}, {""valence"": 0.5569999999999999, ""arousal"": 0.38949999999999996, ""dominance"": 0.444}, {""valence"": 0.6324, ""arousal"": 0.48839999999999995, ""dominance"": 0.6226}, {""valence"": 0.33775, ""arousal"": 0.75675, ""dominance"": 0.6335}, {""valence"": 0.13625, ""arousal"": 0.70775, ""dominance"": 0.4515}, {""valence"": 0.7577500000000001, ""arousal"": 0.45200000000000007, ""dominance"": 0.6567500000000001}, {""valence"": 0.23933333333333331, ""arousal"": 0.6593333333333333, ""dominance"": 0.38433333333333336}]"
1,2022-02-10 04:03:57+00:00,"{""valence"": 0.5704407407407408, ""arousal"": 0.46536276154401146, ""dominance"": 0.5128170319264069, ""emotion"": [0.07007275132275131, 0.10720899470899471, 0.10183682058682059, 0.0967111592111592, 0.07488576238576239, 0.07802729677729676, 0.07951539201539203, 0.09148478835978835]}","[{""valence"": 0.19129999999999997, ""arousal"": 0.6612, ""dominance"": 0.3987}, {""valence"": 0.24463636363636362, ""arousal"": 0.7525454545454546, ""dominance"": 0.500909090909091}, {""valence"": 0.7560000000000001, ""arousal"": 0.49336363636363634, ""dominance"": 0.5762727272727273}, {""valence"": 0.7506999999999999, ""arousal"": 0.5251999999999999, ""dominance"": 0.6134000000000001}, {""valence"": 0.8025714285714286, ""arousal"": 0.476, ""dominance"": 0.5294285714285715}, {""valence"": 0.2359, ""arousal"": 0.6224000000000001, ""dominance"": 0.3395}, {""valence"": 0.82725, ""arousal"": 0.5083749999999999, ""dominance"": 0.5597500000000001}, {""valence"": 0.19300000000000003, ""arousal"": 0.646, ""dominance"": 0.3468333333333333}]"
2,2022-02-12 02:36:15+00:00,"{""valence"": 0.6057224053724054, ""arousal"": 0.48004026251526266, ""dominance"": 0.5298189560439561, ""emotion"": [0.05213675213675213, 0.08247863247863248, 0.08849206349206348, 0.08977411477411477, 0.032509157509157505, 0.03803418803418803, 0.05857753357753358, 0.037820512820512825]}","[{""valence"": 0.07050000000000001, ""arousal"": 0.7909999999999999, ""dominance"": 0.453125}, {""valence"": 0.15666666666666665, ""arousal"": 0.7098888888888888, ""dominance"": 0.4487777777777777}, {""valence"": 0.7685, ""arousal"": 0.5080000000000001, ""dominance"": 0.5863333333333333}, {""valence"": 0.7862000000000001, ""arousal"": 0.5554666666666667, ""dominance"": 0.6292000000000002}, {""valence"": 0.9174, ""arousal"": 0.5559999999999999, ""dominance"": 0.5942000000000001}, {""valence"": 0.1092, ""arousal"": 0.6928000000000001, ""dominance"": 0.3846}, {""valence"": 0.8747999999999999, ""arousal"": 0.5885, ""dominance"": 0.6430999999999999}, {""valence"": 0.07683333333333334, ""arousal"": 0.7566666666666667, ""dominance"": 0.3808333333333333}]"
3,2022-02-15 03:56:51+00:00,"{""valence"": 0.534072496947497, ""arousal"": 0.515452380952381, ""dominance"": 0.5274784035409036, ""emotion"": [0.11269841269841269, 0.16346153846153846, 0.13977411477411478, 0.16556776556776556, 0.07225274725274725, 0.15491452991452995, 0.06263736263736264, 0.08012820512820512]}","[{""valence"": 0.3037777777777777, ""arousal"": 0.7269999999999999, ""dominance"": 0.594}, {""valence"": 0.15245454545454543, ""arousal"": 0.7902727272727273, ""dominance"": 0.4843636363636364}, {""valence"": 0.6914545454545455, ""arousal"": 0.511909090909091, ""dominance"": 0.5932727272727273}, {""valence"": 0.68725, ""arousal"": 0.4511666666666667, ""dominance"": 0.6251666666666665}, {""valence"": 0.801, ""arousal"": 0.5858333333333333, ""dominance"": 0.6288333333333334}, {""valence"": 0.1462857142857143, ""arousal"": 0.6862857142857142, ""dominance"": 0.3378571428571428}, {""valence"": 0.8044, ""arousal"": 0.532, ""dominance"": 0.6468}, {""valence"": 0.05275, ""arousal"": 0.74175, ""dominance"": 0.42474999999999996}]"
4,2022-02-17 06:33:32+00:00,"{""valence"": 0.5443230616605615, ""arousal"": 0.5257211843711844, ""dominance"": 0.5550051587301588, ""emotion"": [0.11581196581196582, 0.12863247863247865, 0.09682539682539683, 0.07145909645909646, 0.025152625152625153, 0.07393162393162393, 0.05757020757020756, 0.1061965811965812]}","[{""valence"": 0.258375, ""arousal"": 0.7353749999999999, ""dominance"": 0.5071249999999999}, {""valence"": 0.23845454545454547, ""arousal"": 0.7480909090909091, ""dominance"": 0.6476363636363636}, {""valence"": 0.7312500000000001, ""arousal"": 0.5428333333333334, ""dominance"": 0.6505833333333332}, {""valence"": 0.7384444444444446, ""arousal"": 0.5504444444444445, ""dominance"": 0.7247777777777777}, {""valence"": 0.7255, ""arousal"": 0.7262500000000001, ""dominance"": 0.804}, {""valence"": 0.0872, ""arousal"": 0.7821999999999999, ""dominance"": 0.47739999999999994}, {""valence"": 0.8071428571428572, ""arousal"": 0.5468571428571429, ""dominance"": 0.6911428571428572}, {""valence"": 0.2522857142857143, ""arousal"": 0.6991428571428572, ""dominance"": 0.4318571428571429}]"
5,2022-02-20 03:03:19+00:00,"{""valence"": 0.6007374603174603, ""arousal"": 0.4728353439153438, ""dominance"": 0.5359321164021164, ""emotion"": [0.05805555555555555, 0.08152116402116401, 0.1141005291005291, 0.12234126984126983, 0.07, 0.05976190476190476, 0.07105820105820106, 0.04092592592592593]}","[{""valence"": 0.121, ""arousal"": 0.722375, ""dominance"": 0.473875}, {""valence"": 0.17308333333333337, ""arousal"": 0.7059166666666666, ""dominance"": 0.48925}, {""valence"": 0.7542857142857143, ""arousal"": 0.48285714285714293, ""dominance"": 0.6013571428571429}, {""valence"": 0.7639285714285716, ""arousal"": 0.4546428571428572, ""dominance"": 0.678}, {""valence"": 0.66, ""arousal"": 0.44720000000000004, ""dominance"": 0.46419999999999995}, {""valence"": 0.137125, ""arousal"": 0.586125, ""dominance"": 0.34725}, {""valence"": 0.8827142857142857, ""arousal"": 0.5042857142857142, ""dominance"": 0.6855714285714286}, {""valence"": 0.1812, ""arousal"": 0.6180000000000001, ""dominance"": 0.38239999999999996}]"
6,2022-02-22 04:03:43+00:00,"{""valence"": 0.574945652173913, ""arousal"": 0.5292644927536232, ""dominance"": 0.533449275362319, ""emotion"": [0.11594202898550722, 0.15217391304347824, 0.05942028985507247, 0.12391304347826089, 0.01594202898550725, 0.007246376811594202, 0.05942028985507247, 0.043478260869565216]}","[{""valence"": 0.2856666666666667, ""arousal"": 0.8559999999999999, ""dominance"": 0.47633333333333333}, {""valence"": 0.33699999999999997, ""arousal"": 0.7663333333333333, ""dominance"": 0.5930000000000001}, {""valence"": 0.7589999999999999, ""arousal"": 0.5481666666666667, ""dominance"": 0.7211666666666666}, {""valence"": 0.7620833333333333, ""arousal"": 0.49891666666666673, ""dominance"": 0.6780833333333334}, {""valence"": 0.5025, ""arousal"": 0.71, ""dominance"": 0.498}, {""valence"": 0.153, ""arousal"": 0.778, ""dominance"": 0.221}, {""valence"": 0.8614999999999999, ""arousal"": 0.554, ""dominance"": 0.7345}, {""valence"": 0.376, ""arousal"": 0.868, ""dominance"": 0.357}]"
7,2022-02-24 03:30:05+00:00,"{""valence"": 0.5678596428571427, ""arousal"": 0.5166656168831169, ""dominance"": 0.6000009090909091, ""emotion"": [0.0712121212121212, 0.05411255411255411, 0.03333333333333333, 0.08992424242424242, 0.008333333333333333, 0.05621212121212121, 0.0, 0.029642857142857144]}","[{""valence"": 0.22642857142857142, ""arousal"": 0.7682857142857143, ""dominance"": 0.6067142857142857}, {""valence"": 0.19885714285714284, ""arousal"": 0.6699999999999999, ""dominance"": 0.5239999999999999}, {""valence"": 0.5680000000000001, ""arousal"": 0.3626666666666667, ""dominance"": 0.48366666666666663}, {""valence"": 0.6881666666666666, ""arousal"": 0.4865, ""dominance"": 0.7853333333333333}, {""valence"": 0.35, ""arousal"": 0.726, ""dominance"": 0.56}, {""valence"": 0.1102, ""arousal"": 0.5795999999999999, ""dominance"": 0.2304}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.2633333333333333, ""arousal"": 0.5643333333333334, ""dominance"": 0.2783333333333334}]"
8,2022-02-26 05:59:55+00:00,"{""valence"": 0.5514939365079365, ""arousal"": 0.47255798412698413, ""dominance"": 0.5401148412698413, ""emotion"": [0.11020634920634921, 0.09696825396825397, 0.10085714285714287, 0.1079047619047619, 0.05738095238095238, 0.06142857142857142, 0.09014285714285714, 0.05571428571428571]}","[{""valence"": 0.3854545454545455, ""arousal"": 0.6416363636363638, ""dominance"": 0.6579090909090909}, {""valence"": 0.28227272727272723, ""arousal"": 0.7453636363636363, ""dominance"": 0.6769999999999999}, {""valence"": 0.6965454545454546, ""arousal"": 0.5271818181818182, ""dominance"": 0.6173636363636363}, {""valence"": 0.7394166666666666, ""arousal"": 0.4964166666666667, ""dominance"": 0.7061666666666667}, {""valence"": 0.54575, ""arousal"": 0.57725, ""dominance"": 0.56275}, {""valence"": 0.30419999999999997, ""arousal"": 0.6127999999999999, ""dominance"": 0.4582}, {""valence"": 0.8400000000000001, ""arousal"": 0.4828888888888889, ""dominance"": 0.6010000000000001}, {""valence"": 0.331, ""arousal"": 0.48499999999999993, ""dominance"": 0.4413333333333333}]"
9,2022-02-28 06:14:20+00:00,"{""valence"": 0.5688912337662336, ""arousal"": 0.4605402356902358, ""dominance"": 0.5140888528138529, ""emotion"": [0.1004088504088504, 0.0882876382876383, 0.04771524771524771, 0.05293410293410294, 0.02621452621452621, 0.07039442039442038, 0.04027176527176527, 0.03908128908128908]}","[{""valence"": 0.2452666666666667, ""arousal"": 0.7315333333333333, ""dominance"": 0.5289333333333334}, {""valence"": 0.15476923076923077, ""arousal"": 0.6674615384615384, ""dominance"": 0.45346153846153847}, {""valence"": 0.7027000000000001, ""arousal"": 0.5356000000000001, ""dominance"": 0.6173999999999998}, {""valence"": 0.7543000000000001, ""arousal"": 0.393, ""dominance"": 0.6779}, {""valence"": 0.6675, ""arousal"": 0.5453333333333333, ""dominance"": 0.5786666666666667}, {""valence"": 0.11483333333333334, ""arousal"": 0.64525, ""dominance"": 0.3765833333333333}, {""valence"": 0.8643750000000001, ""arousal"": 0.45287499999999997, ""dominance"": 0.628625}, {""valence"": 0.09283333333333334, ""arousal"": 0.7623333333333333, ""dominance"": 0.3898333333333333}]"
