Segment_ID,DateTime,Segment_VAD_Emotion,Emotion_VAD
0,2020-11-15 21:52:45+00:00,"{""valence"": 0.5503245108896272, ""arousal"": 0.5164564507198227, ""dominance"": 0.5503726559616094, ""emotion"": [0.12785160575858254, 0.08665559246954595, 0.03329641934293097, 0.05941306755260244, 0.03864894795127353, 0.09039313399778515, 0.014433370247323735, 0.05005537098560354]}","[{""valence"": 0.17831578947368423, ""arousal"": 0.742421052631579, ""dominance"": 0.48168421052631594}, {""valence"": 0.26321428571428573, ""arousal"": 0.7329285714285715, ""dominance"": 0.5973571428571428}, {""valence"": 0.677875, ""arousal"": 0.563125, ""dominance"": 0.6321249999999999}, {""valence"": 0.6468750000000001, ""arousal"": 0.5369999999999999, ""dominance"": 0.713375}, {""valence"": 0.5366, ""arousal"": 0.6813, ""dominance"": 0.6502}, {""valence"": 0.20318750000000002, ""arousal"": 0.5903750000000001, ""dominance"": 0.4137499999999999}, {""valence"": 0.7947500000000001, ""arousal"": 0.52825, ""dominance"": 0.7030000000000001}, {""valence"": 0.23357142857142857, ""arousal"": 0.6887142857142857, ""dominance"": 0.409}]"
1,2020-11-17 04:20:19+00:00,"{""valence"": 0.5809877476059295, ""arousal"": 0.46721609383882107, ""dominance"": 0.5767799258821985, ""emotion"": [0.03798701298701298, 0.027164502164502162, 0.04238926057107875, 0.16719795356158995, 0.05556867375049193, 0.03695395513577331, 0.046381564563382736, 0.021261314443132624]}","[{""valence"": 0.10542857142857143, ""arousal"": 0.7671428571428571, ""dominance"": 0.4364285714285714}, {""valence"": 0.32916666666666666, ""arousal"": 0.6933333333333334, ""dominance"": 0.5998333333333333}, {""valence"": 0.6648888888888889, ""arousal"": 0.5545555555555555, ""dominance"": 0.6169999999999999}, {""valence"": 0.6276666666666665, ""arousal"": 0.4885000000000001, ""dominance"": 0.6647916666666668}, {""valence"": 0.5725, ""arousal"": 0.7008333333333333, ""dominance"": 0.7278333333333333}, {""valence"": 0.173875, ""arousal"": 0.512875, ""dominance"": 0.35675}, {""valence"": 0.7825000000000001, ""arousal"": 0.5656249999999999, ""dominance"": 0.69575}, {""valence"": 0.20759999999999995, ""arousal"": 0.6961999999999999, ""dominance"": 0.42400000000000004}]"
2,2020-11-19 01:22:17+00:00,"{""valence"": 0.6032188326719576, ""arousal"": 0.4686123842592593, ""dominance"": 0.5564177083333335, ""emotion"": [0.13644179894179895, 0.020949074074074075, 0.21359126984126986, 0.22845568783068781, 0.1388888888888889, 0.1019675925925926, 0.1566468253968254, 0.011574074074074075]}","[{""valence"": 0.2635454545454546, ""arousal"": 0.6540909090909091, ""dominance"": 0.512909090909091}, {""valence"": 0.3745, ""arousal"": 0.6285000000000001, ""dominance"": 0.5345}, {""valence"": 0.7387272727272727, ""arousal"": 0.5349090909090909, ""dominance"": 0.6506363636363637}, {""valence"": 0.7468823529411766, ""arousal"": 0.5271764705882352, ""dominance"": 0.7231764705882354}, {""valence"": 0.6506, ""arousal"": 0.5036, ""dominance"": 0.6266}, {""valence"": 0.3273333333333333, ""arousal"": 0.5593333333333333, ""dominance"": 0.4831666666666667}, {""valence"": 0.7651249999999998, ""arousal"": 0.6015, ""dominance"": 0.71475}, {""valence"": 0.2255, ""arousal"": 0.6915, ""dominance"": 0.53}]"
3,2020-11-20 01:49:29+00:00,"{""valence"": 0.5758347420634922, ""arousal"": 0.4827216269841269, ""dominance"": 0.5687813888888889, ""emotion"": [0.05970238095238095, 0.06636904761904762, 0.013392857142857142, 0.057222222222222216, 0.06853174603174603, 0.11761904761904762, 0.025, 0.029642857142857144]}","[{""valence"": 0.18766666666666668, ""arousal"": 0.7473333333333332, ""dominance"": 0.4935}, {""valence"": 0.2951428571428571, ""arousal"": 0.6455714285714286, ""dominance"": 0.5057142857142857}, {""valence"": 0.4115, ""arousal"": 0.706, ""dominance"": 0.6819999999999999}, {""valence"": 0.645, ""arousal"": 0.448375, ""dominance"": 0.750625}, {""valence"": 0.3165, ""arousal"": 0.7795, ""dominance"": 0.5785}, {""valence"": 0.2217, ""arousal"": 0.5772, ""dominance"": 0.33309999999999995}, {""valence"": 1.0, ""arousal"": 0.519, ""dominance"": 0.673}, {""valence"": 0.1416666666666667, ""arousal"": 0.7796666666666665, ""dominance"": 0.43999999999999995}]"
4,2020-11-21 01:42:00+00:00,"{""valence"": 0.5873896577380952, ""arousal"": 0.4852164930555555, ""dominance"": 0.580190054563492, ""emotion"": [0.060664682539682546, 0.0570188492063492, 0.06249999999999999, 0.0677827380952381, 0.0720486111111111, 0.03774801587301588, 0.025, 0.02924107142857143]}","[{""valence"": 0.2282857142857143, ""arousal"": 0.7482857142857142, ""dominance"": 0.5414285714285714}, {""valence"": 0.3376666666666666, ""arousal"": 0.6778333333333334, ""dominance"": 0.5403333333333333}, {""valence"": 0.716, ""arousal"": 0.38180000000000003, ""dominance"": 0.5566}, {""valence"": 0.6815714285714286, ""arousal"": 0.4927142857142857, ""dominance"": 0.733}, {""valence"": 0.5665714285714286, ""arousal"": 0.6564285714285714, ""dominance"": 0.6982857142857143}, {""valence"": 0.17725, ""arousal"": 0.58325, ""dominance"": 0.41175}, {""valence"": 0.8959999999999999, ""arousal"": 0.429, ""dominance"": 0.6255}, {""valence"": 0.22775, ""arousal"": 0.62975, ""dominance"": 0.49725}]"
5,2020-11-22 01:18:38+00:00,"{""valence"": 0.580841622574956, ""arousal"": 0.43373643445032334, ""dominance"": 0.5339492798353909, ""emotion"": [0.08055555555555555, 0.0771604938271605, 0.0852880658436214, 0.09814814814814815, 0.030349794238683128, 0.05977366255144033, 0.029012345679012345, 0.03508230452674897]}","[{""valence"": 0.26353846153846155, ""arousal"": 0.714076923076923, ""dominance"": 0.5670000000000001}, {""valence"": 0.3416923076923077, ""arousal"": 0.5992307692307693, ""dominance"": 0.4805384615384615}, {""valence"": 0.6105, ""arousal"": 0.5276, ""dominance"": 0.6085}, {""valence"": 0.7028571428571427, ""arousal"": 0.5258571428571429, ""dominance"": 0.7122857142857143}, {""valence"": 0.5342499999999999, ""arousal"": 0.58375, ""dominance"": 0.591}, {""valence"": 0.29725, ""arousal"": 0.5232500000000001, ""dominance"": 0.397875}, {""valence"": 0.785, ""arousal"": 0.584, ""dominance"": 0.6733333333333333}, {""valence"": 0.14816666666666667, ""arousal"": 0.6933333333333334, ""dominance"": 0.37633333333333335}]"
6,2020-11-23 04:37:56+00:00,"{""valence"": 0.6112193594104308, ""arousal"": 0.4776951908541194, ""dominance"": 0.6127764833711262, ""emotion"": [0.05639644746787604, 0.035279667422524565, 0.059703325774754346, 0.13138699924414207, 0.07509448223733939, 0.05180461073318217, 0.03647014361300075, 0.020398715041572184]}","[{""valence"": 0.32039999999999996, ""arousal"": 0.6788666666666666, ""dominance"": 0.5312666666666667}, {""valence"": 0.35355555555555557, ""arousal"": 0.7258888888888889, ""dominance"": 0.6168888888888889}, {""valence"": 0.6187692307692306, ""arousal"": 0.490076923076923, ""dominance"": 0.6024615384615385}, {""valence"": 0.6832812500000002, ""arousal"": 0.47353125, ""dominance"": 0.7177812499999999}, {""valence"": 0.55625, ""arousal"": 0.6310000000000001, ""dominance"": 0.7402500000000001}, {""valence"": 0.3363076923076923, ""arousal"": 0.5674615384615385, ""dominance"": 0.4665384615384615}, {""valence"": 0.7515555555555555, ""arousal"": 0.4482222222222222, ""dominance"": 0.6605555555555556}, {""valence"": 0.21516666666666664, ""arousal"": 0.653, ""dominance"": 0.4706666666666666}]"
7,2020-11-26 00:01:20+00:00,"{""valence"": 0.655058611111111, ""arousal"": 0.4932883862433863, ""dominance"": 0.604963148148148, ""emotion"": [0.04138888888888889, 0.03796296296296296, 0.07226190476190476, 0.16644179894179895, 0.0316005291005291, 0.02981481481481481, 0.08517195767195766, 0.01944444444444444]}","[{""valence"": 0.33228571428571424, ""arousal"": 0.6501428571428571, ""dominance"": 0.5248571428571429}, {""valence"": 0.4724285714285714, ""arousal"": 0.5795714285714286, ""dominance"": 0.5652857142857143}, {""valence"": 0.833, ""arousal"": 0.4821, ""dominance"": 0.7084}, {""valence"": 0.7737500000000002, ""arousal"": 0.47941666666666655, ""dominance"": 0.7730833333333335}, {""valence"": 0.7578571428571428, ""arousal"": 0.5287142857142857, ""dominance"": 0.7357142857142857}, {""valence"": 0.3808333333333333, ""arousal"": 0.5986666666666666, ""dominance"": 0.4688333333333334}, {""valence"": 0.894909090909091, ""arousal"": 0.4486363636363636, ""dominance"": 0.7100909090909092}, {""valence"": 0.41025, ""arousal"": 0.597, ""dominance"": 0.48475}]"
8,2020-11-27 02:53:19+00:00,"{""valence"": 0.5880531158142269, ""arousal"": 0.4673570693709582, ""dominance"": 0.5981015726043505, ""emotion"": [0.06368312757201645, 0.05761316872427984, 0.08872721928277484, 0.1478835978835979, 0.04238683127572016, 0.04370958259847149, 0.04310699588477366, 0.01609347442680776]}","[{""valence"": 0.24988888888888885, ""arousal"": 0.6483333333333333, ""dominance"": 0.48488888888888887}, {""valence"": 0.37400000000000005, ""arousal"": 0.5996666666666667, ""dominance"": 0.6705}, {""valence"": 0.6966153846153845, ""arousal"": 0.4878461538461539, ""dominance"": 0.6303076923076922}, {""valence"": 0.7238124999999999, ""arousal"": 0.5265625, ""dominance"": 0.7343125}, {""valence"": 0.5292000000000001, ""arousal"": 0.6796, ""dominance"": 0.7824000000000001}, {""valence"": 0.29, ""arousal"": 0.5173333333333333, ""dominance"": 0.49700000000000005}, {""valence"": 0.869, ""arousal"": 0.5402857142857143, ""dominance"": 0.7167142857142857}, {""valence"": 0.25266666666666665, ""arousal"": 0.604, ""dominance"": 0.5063333333333333}]"
9,2020-11-28 00:13:23+00:00,"{""valence"": 0.5819941372247823, ""arousal"": 0.5080058499743983, ""dominance"": 0.585142857142857, ""emotion"": [0.07019969278033794, 0.08402457757296468, 0.029877112135176645, 0.06395289298515106, 0.04976958525345622, 0.05625960061443932, 0.020967741935483872, 0.04946236559139785]}","[{""valence"": 0.1825, ""arousal"": 0.6647, ""dominance"": 0.3985000000000001}, {""valence"": 0.3641818181818182, ""arousal"": 0.5637272727272727, ""dominance"": 0.46181818181818174}, {""valence"": 0.745, ""arousal"": 0.5355, ""dominance"": 0.5865}, {""valence"": 0.689090909090909, ""arousal"": 0.5588181818181818, ""dominance"": 0.7331818181818182}, {""valence"": 0.45642857142857146, ""arousal"": 0.7568571428571429, ""dominance"": 0.7002857142857142}, {""valence"": 0.250625, ""arousal"": 0.586625, ""dominance"": 0.382375}, {""valence"": 0.8366666666666666, ""arousal"": 0.7013333333333334, ""dominance"": 0.6666666666666666}, {""valence"": 0.20400000000000001, ""arousal"": 0.7451428571428572, ""dominance"": 0.4597142857142857}]"
10,2020-12-01 03:13:58+00:00,"{""valence"": 0.5521571428571428, ""arousal"": 0.4815205238095238, ""dominance"": 0.5462908412698412, ""emotion"": [0.08863492063492064, 0.060365079365079365, 0.12292063492063494, 0.1320793650793651, 0.029714285714285714, 0.02571428571428571, 0.02666666666666667, 0.04]}","[{""valence"": 0.23711111111111116, ""arousal"": 0.7764444444444443, ""dominance"": 0.5512222222222223}, {""valence"": 0.5146, ""arousal"": 0.6218000000000001, ""dominance"": 0.5476}, {""valence"": 0.7209444444444446, ""arousal"": 0.41300000000000003, ""dominance"": 0.5765}, {""valence"": 0.6515789473684211, ""arousal"": 0.4901578947368421, ""dominance"": 0.642578947368421}, {""valence"": 0.8123333333333332, ""arousal"": 0.5803333333333333, ""dominance"": 0.7246666666666667}, {""valence"": 0.47250000000000003, ""arousal"": 0.3075, ""dominance"": 0.419}, {""valence"": 0.9188000000000001, ""arousal"": 0.557, ""dominance"": 0.6648000000000001}, {""valence"": 0.082, ""arousal"": 0.702, ""dominance"": 0.24}]"
