DateTime,Text,Words_VAD_Emotion,Tweet_VAD_Emotion,Segment_ID
2022-10-18 17:05:00+00:00,"We must do more to transform how we address mental health.

My Administration is announcing funding to expand Certi… https://t.co/6Sjv0tsNKn","{""must"": {""valence"": 0.408, ""arousal"": 0.382, ""dominance"": 0.441, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""do"": {""valence"": 0.67, ""arousal"": 0.548, ""dominance"": 0.536, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""transform"": {""valence"": 0.735, ""arousal"": 0.667, ""dominance"": 0.696, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""address"": {""valence"": 0.65, ""arousal"": 0.327, ""dominance"": 0.567, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""mental"": {""valence"": 0.49, ""arousal"": 0.49, ""dominance"": 0.585, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""administration"": {""valence"": 0.625, ""arousal"": 0.404, ""dominance"": 0.786, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""funding"": {""valence"": 0.729, ""arousal"": 0.48, ""dominance"": 0.827, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""expand"": {""valence"": 0.792, ""arousal"": 0.559, ""dominance"": 0.686, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.637375, ""arousal"": 0.48212499999999997, ""dominance"": 0.6405000000000001, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
2022-10-18 18:22:04+00:00,"Student loan debt relief is a game changer for millions.

Get moving: https://t.co/DYpFtPY70p. https://t.co/JfqykMBJB3","{""student"": {""valence"": 0.634, ""arousal"": 0.318, ""dominance"": 0.537, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""loan"": {""valence"": 0.552, ""arousal"": 0.48, ""dominance"": 0.352, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""debt"": {""valence"": 0.204, ""arousal"": 0.598, ""dominance"": 0.336, ""emotion"": [0, 0, 0, 0, 0, 1, 0, 0]}, ""relief"": {""valence"": 0.844, ""arousal"": 0.278, ""dominance"": 0.481, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""game"": {""valence"": 0.735, ""arousal"": 0.788, ""dominance"": 0.493, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""changer"": {""valence"": 0.583, ""arousal"": 0.519, ""dominance"": 0.567, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""moving"": {""valence"": 0.479, ""arousal"": 0.673, ""dominance"": 0.358, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.5758571428571428, ""arousal"": 0.522, ""dominance"": 0.4462857142857143, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.0, 0.0]}",0
2022-10-18 19:00:01+00:00,"Thanks to the Inflation Reduction Act, if Big Pharma tries to raise drug prices faster than inflation, they’ll have… https://t.co/Q2cFMrwvhi","{""thanks"": {""valence"": 0.918, ""arousal"": 0.472, ""dominance"": 0.461, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""inflation"": {""valence"": 0.219, ""arousal"": 0.792, ""dominance"": 0.508, ""emotion"": [0, 1, 0, 0, 0, 0, 0, 0]}, ""reduction"": {""valence"": 0.365, ""arousal"": 0.382, ""dominance"": 0.24, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""act"": {""valence"": 0.656, ""arousal"": 0.704, ""dominance"": 0.735, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""big"": {""valence"": 0.802, ""arousal"": 0.588, ""dominance"": 0.812, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""raise"": {""valence"": 0.885, ""arousal"": 0.685, ""dominance"": 0.765, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""drug"": {""valence"": 0.214, ""arousal"": 0.79, ""dominance"": 0.453, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.5798571428571428, ""arousal"": 0.6304285714285714, ""dominance"": 0.5677142857142857, ""emotion"": [0.0, 0.14285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
2022-10-18 20:53:18+00:00,"Americans are going to start seeing hearing aids on their store shelves.

That’s a big deal.","{""start"": {""valence"": 0.684, ""arousal"": 0.43, ""dominance"": 0.589, ""emotion"": [0, 0, 1, 0, 0, 0, 0, 0]}, ""hearing"": {""valence"": 0.669, ""arousal"": 0.49, ""dominance"": 0.595, ""emotion"": [0, 1, 0, 0, 0, 0, 0, 0]}, ""aids"": {""valence"": 0.561, ""arousal"": 0.48, ""dominance"": 0.5, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""store"": {""valence"": 0.646, ""arousal"": 0.538, ""dominance"": 0.407, ""emotion"": [0, 0, 1, 0, 0, 0, 0, 0]}, ""big"": {""valence"": 0.802, ""arousal"": 0.588, ""dominance"": 0.812, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""deal"": {""valence"": 0.719, ""arousal"": 0.599, ""dominance"": 0.543, ""emotion"": [0, 0, 1, 1, 1, 0, 1, 0]}}","{""valence"": 0.6801666666666667, ""arousal"": 0.5208333333333334, ""dominance"": 0.5743333333333333, ""emotion"": [0.0, 0.16666666666666666, 0.5, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0]}",0
2022-10-19 01:48:21+00:00,I said it then and I'll say it now: the decision on Roe wasn't going to stop with a woman's right to choose. https://t.co/YkGZKx2PFB,"{""ill"": {""valence"": 0.073, ""arousal"": 0.41, ""dominance"": 0.2, ""emotion"": [1, 1, 0, 0, 0, 1, 0, 1]}, ""say"": {""valence"": 0.571, ""arousal"": 0.31, ""dominance"": 0.482, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""decision"": {""valence"": 0.646, ""arousal"": 0.51, ""dominance"": 0.839, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""roe"": {""valence"": 0.49, ""arousal"": 0.382, ""dominance"": 0.398, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""stop"": {""valence"": 0.28, ""arousal"": 0.51, ""dominance"": 0.49, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""right"": {""valence"": 0.74, ""arousal"": 0.352, ""dominance"": 0.71, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""choose"": {""valence"": 0.615, ""arousal"": 0.542, ""dominance"": 0.648, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.4878571428571429, ""arousal"": 0.4308571428571429, ""dominance"": 0.5381428571428571, ""emotion"": [0.14285714285714285, 0.14285714285714285, 0.0, 0.0, 0.0, 0.14285714285714285, 0.0, 0.14285714285714285]}",0
2022-10-19 12:45:00+00:00,Republicans in Congress aren't just looking to get rid of the Inflation Reduction Act. They are still determined to… https://t.co/lew36gCec3,"{""congress"": {""valence"": 0.449, ""arousal"": 0.444, ""dominance"": 0.857, ""emotion"": [0, 0, 0, 1, 0, 0, 0, 1]}, ""get"": {""valence"": 0.74, ""arousal"": 0.594, ""dominance"": 0.667, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""rid"": {""valence"": 0.194, ""arousal"": 0.408, ""dominance"": 0.327, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""inflation"": {""valence"": 0.219, ""arousal"": 0.792, ""dominance"": 0.508, ""emotion"": [0, 1, 0, 0, 0, 0, 0, 0]}, ""reduction"": {""valence"": 0.365, ""arousal"": 0.382, ""dominance"": 0.24, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""act"": {""valence"": 0.656, ""arousal"": 0.704, ""dominance"": 0.735, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""determined"": {""valence"": 0.76, ""arousal"": 0.528, ""dominance"": 0.673, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.48328571428571426, ""arousal"": 0.5502857142857143, ""dominance"": 0.5724285714285714, ""emotion"": [0.0, 0.14285714285714285, 0.0, 0.14285714285714285, 0.0, 0.0, 0.0, 0.14285714285714285]}",0
2022-10-19 14:20:04+00:00,Republican officials are doing everything they can to deny student loan debt relief to hardworking Americas – even… https://t.co/Ojc4yIdwxz,"{""republican"": {""valence"": 0.398, ""arousal"": 0.551, ""dominance"": 0.664, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""can"": {""valence"": 0.662, ""arousal"": 0.36, ""dominance"": 0.454, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""deny"": {""valence"": 0.316, ""arousal"": 0.667, ""dominance"": 0.321, ""emotion"": [1, 0, 0, 0, 0, 0, 0, 0]}, ""student"": {""valence"": 0.634, ""arousal"": 0.318, ""dominance"": 0.537, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""loan"": {""valence"": 0.552, ""arousal"": 0.48, ""dominance"": 0.352, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""debt"": {""valence"": 0.204, ""arousal"": 0.598, ""dominance"": 0.336, ""emotion"": [0, 0, 0, 0, 0, 1, 0, 0]}, ""relief"": {""valence"": 0.844, ""arousal"": 0.278, ""dominance"": 0.481, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""hardworking"": {""valence"": 0.719, ""arousal"": 0.583, ""dominance"": 0.792, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.5411250000000001, ""arousal"": 0.479375, ""dominance"": 0.4921249999999999, ""emotion"": [0.125, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0]}",0
2022-10-19 16:45:40+00:00,"It’s simple: When the cost of oil comes down, we should see the price at the pump come down as well. That’s how it… https://t.co/TDMrdEmzox","{""simple"": {""valence"": 0.653, ""arousal"": 0.13, ""dominance"": 0.314, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""cost"": {""valence"": 0.365, ""arousal"": 0.42, ""dominance"": 0.439, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""oil"": {""valence"": 0.521, ""arousal"": 0.278, ""dominance"": 0.306, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""down"": {""valence"": 0.208, ""arousal"": 0.33, ""dominance"": 0.264, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""see"": {""valence"": 0.635, ""arousal"": 0.269, ""dominance"": 0.312, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""price"": {""valence"": 0.479, ""arousal"": 0.475, ""dominance"": 0.535, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""pump"": {""valence"": 0.417, ""arousal"": 0.882, ""dominance"": 0.681, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""come"": {""valence"": 0.529, ""arousal"": 0.269, ""dominance"": 0.558, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.475875, ""arousal"": 0.38162500000000005, ""dominance"": 0.426125, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
2022-10-19 17:28:16+00:00,Tune in as I deliver remarks on additional actions to lower costs and strengthen energy security. https://t.co/mpd1G1vCGT,"{""tune"": {""valence"": 0.708, ""arousal"": 0.479, ""dominance"": 0.426, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""deliver"": {""valence"": 0.583, ""arousal"": 0.37, ""dominance"": 0.582, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""additional"": {""valence"": 0.673, ""arousal"": 0.462, ""dominance"": 0.526, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""lower"": {""valence"": 0.327, ""arousal"": 0.296, ""dominance"": 0.258, ""emotion"": [0, 0, 0, 0, 0, 1, 0, 0]}, ""strengthen"": {""valence"": 0.802, ""arousal"": 0.796, ""dominance"": 0.971, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""energy"": {""valence"": 0.944, ""arousal"": 0.725, ""dominance"": 0.868, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""security"": {""valence"": 0.837, ""arousal"": 0.36, ""dominance"": 0.821, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.6962857142857143, ""arousal"": 0.4982857142857143, ""dominance"": 0.636, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.0, 0.0]}",0
2022-10-19 17:44:01+00:00,"After seeing gas prices rise over the past few weeks, they're falling again. That’s progress.

But they’re not fall… https://t.co/63ZGiiMGLa","{""gas"": {""valence"": 0.396, ""arousal"": 0.408, ""dominance"": 0.519, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""rise"": {""valence"": 0.667, ""arousal"": 0.593, ""dominance"": 0.745, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""past"": {""valence"": 0.49, ""arousal"": 0.422, ""dominance"": 0.311, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""falling"": {""valence"": 0.202, ""arousal"": 0.716, ""dominance"": 0.306, ""emotion"": [0, 0, 0, 0, 0, 1, 0, 0]}}","{""valence"": 0.43875000000000003, ""arousal"": 0.53475, ""dominance"": 0.47025, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0]}",0
